MoA,Year,Control,Small,Medium,Large
Dietary restraint,0,5.75,5.75,5.75,5.75
Dietary restraint,3,6.33512,6.61442,6.88262,7.17932
Dietary restraint,6,6.79928,7.29848,7.79528,8.34008
Dietary restraint,9,7.14248,7.80218,8.48798,9.23228
Dietary restraint,12,7.36472,8.12552,8.96072,9.85592
Dietary restraint,15,7.466,8.2685,9.2135,10.211
Dietary restraint,18,7.44632,8.23112,9.24632,10.29752
Dietary restraint,21,7.30568,8.01338,9.05918,10.11548
Dietary restraint,24,7.04408,7.61528,8.65208,9.66488
Habit strength,0,3.456,3.456,3.456,3.456
Habit strength,3,3.6438,3.75915,3.85485,3.96165
Habit strength,6,3.7965,4.0038,4.1826,4.3818
Habit strength,9,3.9141,4.18995,4.43925,4.71645
Habit strength,12,3.9966,4.3176,4.6248,4.9656
Habit strength,15,4.044,4.38675,4.73925,5.12925
Habit strength,18,4.0563,4.3974,4.7826,5.2074
Habit strength,21,4.0335,4.34955,4.75485,5.20005
Habit strength,24,3.9756,4.2432,4.656,5.1072
Autonomous diet self-regulation ,0,6.094,6.094,6.094,6.094
Autonomous diet self-regulation ,3,5.89444,5.99764,6.08914,6.23974
Autonomous diet self-regulation ,6,5.72116,5.90596,6.07996,6.35236
Autonomous diet self-regulation ,9,5.57416,5.81896,6.06646,6.43186
Autonomous diet self-regulation ,12,5.45344,5.73664,6.04864,6.47824
Autonomous diet self-regulation ,15,5.359,5.659,6.0265,6.4915
Autonomous diet self-regulation ,18,5.29084,5.58604,6.00004,6.47164
Autonomous diet self-regulation ,21,5.24896,5.51776,5.96926,6.41866
Autonomous diet self-regulation ,24,5.23336,5.45416,5.93416,6.33256
