"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44979990.8614895 132540272.946666 197297290.059435 217619604.003403 241359061.792157 276943913.477338 316242697.498437 351042137.293418 377540636.192902 394384637.592679 404464758.994893 410350031.093567 412695244.866865 412910615.230181 411071152.567896 407124587.274769 401588739.260677 394090087.839002 384704696.718406 374438389.005484 363269135.926274 351078185.146352 337996185.326338 324496760.449437 310243133.800348 295814916.836014 280871556.113469 266072975.534396 251044769.019796 236222253.388663 221193669.974466 206397114.443913 191871959.673479 177597349.16756 163858290.376397 150521688.102486 137618748.838651 125336060.57398 113727226.529302 102687813.902969 92387344.5488127 82645111.4205086 73553666.1919841 65229200.8463515 57565981.2128545 50555906.7411908 44221594.8684553 38420886.1953425 33240274.3794013 28544613.8265893 24365939.4333189 20746166.9230584 17529044.0534995 14664141.9356078 12174067.0803532 10015312.9512958 8170553.45120408 6580601.68910258 5252085.57756809 4107207.26561475 3149027.15881753 2389823.06229816 1795415.72081988 1321373.68555071 943432.579647123 670251.885516004 470644.083035693 328899.376715007 220789.414886759 147935.944386529 96746.8730289673 66486.5664014097 41356.3675212052 21887.7352903251 11919.8386715815 5231.01645721524 2839.78869124093 470.190010838591 25.3818874237666 5.73283360995002 0 0 0 0 0 0 0
"CVDCOST" 584784423.880921 739436661.665139 869955755.534524 987431560.306236 1100460778.35481 1192628496.6643 1275837319.18328 1338661303.94109 1387013181.33576 1423396545.35242 1449266824.89086 1469366645.27719 1475773822.63775 1471130182.44313 1461429954.22632 1440949368.2129 1415309646.99616 1385376522.16345 1349799681.08776 1303169949.9114 1260697220.23921 1216509707.59283 1165395885.68665 1113700972.74326 1062885305.44863 1012044948.03731 962038882.615337 907196119.126598 855600501.072323 805813279.689918 755950495.04338 707933192.801467 661008606.402976 613458315.047209 569308882.498432 525265777.102085 484189772.017623 444889601.99566 410169865.365383 375119410.700525 341604566.391146 310716518.861195 279989612.275413 252346679.402003 227209980.176142 202878846.938755 180581157.57209 160373400.070347 141616467.628396 125519648.321993 109335718.566698 95951109.0596305 83954225.8519216 73197894.489946 62346724.7164794 53455233.3029187 45629127.4745852 38342879.5141322 32192815.6736967 26719246.5407523 21997946.8099175 17705233.7266816 14179919.9232818 11410202.005841 8690685.41061575 6564272.58968172 5176940.85609333 3879137.3479032 2836737.26808316 2162205.03839763 1583461.1340093 1051727.78584298 708663.449007927 456755.754705636 303942.506625026 152367.435462661 77740.9820499618 24831.3302134684 19418.6285646267 8098.8167515614 416.916602657337 153.825655328804 0 0 0 0 0
"NEPHCOST" 196633041.0026 193519409.218454 191351954.972279 192120473.704909 194809775.893454 197811429.720166 201700036.330484 204978951.912634 209699817.630652 213895582.490256 217488708.34377 221237995.705647 224987264.077177 225629619.346597 229373373.036902 230423392.571423 231170418.209341 229814792.589711 228237220.527275 225734136.438851 221944742.557321 216171598.856884 209476578.386297 202961289.83961 195806393.15419 187952911.427078 179830019.778615 170228270.647463 162487076.639823 153917740.029903 145472012.419252 136907685.408326 128785994.884598 119821776.637609 112117168.655796 103932815.327003 96703608.0338405 89189816.3116821 82162415.9309476 75240787.0222696 68610696.8375419 62131686.8609081 56125148.5248525 50332928.125988 45237334.4456048 40622663.2459398 35873869.9446389 31817104.1086272 28372034.0469634 25043516.5604836 22072695.4771082 19116246.1887194 16529927.1505511 14184991.5373787 12164232.5668121 10426873.4435578 8786740.27993923 7295309.35937044 6107621.1803708 4928918.56265693 3957285.21800367 3114297.77008561 2355482.11396412 1723347.40646529 1310156.7584711 1066568.76159647 774322.104481611 545813.803908825 352185.434622518 235644.290328999 142727.155415953 90716.6348212726 66678.5458791141 36509.9302635919 21175.6408488788 13130.6594604393 3374.43029659578 3260.31912714568 1700.4710373234 0 0 0 0 0 0 0 0
"RETCOST" 8752009.95364581 12177962.1647387 14897177.327738 17579770.2251182 20039691.1474507 22522545.6410978 24334731.3950596 26052394.0674161 27027256.2590602 28183767.5741301 28728311.4815662 29521335.0519824 29975542.5965468 30156918.7075763 30141650.6481578 30034930.8850818 29686967.0293587 29288244.6636759 29078951.820904 28324969.8991366 27671102.6536478 26869196.6205763 26055128.0313768 25103412.5391321 24077107.0221975 23119165.5075111 22072099.0727814 21232219.8826071 20113078.4228932 19078161.8883236 17990899.8537358 16951498.4801583 15822105.6099908 14764651.4940413 13746420.4774238 12682457.0536873 11641168.2338354 10660456.4134677 9739799.89955796 8921160.60055058 8055552.54802764 7210288.60866936 6459910.63437692 5787184.93558792 5092750.41147472 4529247.23001491 3997500.15443942 3471613.78718525 3046810.00374571 2618705.06238185 2247127.30222713 1925732.15297808 1631438.00610479 1377208.80151986 1145040.47319682 949912.940594635 785623.271034146 645962.028984123 519864.028570336 419388.999997245 319250.579178797 248904.780013783 194382.564439608 144626.803341177 104595.345249443 76746.8588983681 57307.7740749611 41779.4718842474 28898.3351568519 18366.1399230147 13776.994971121 9281.9801765474 6005.86120228173 3039.40112923614 1957.47709986037 809.508964740749 582.006846185505 358.818289645288 57.8034339321024 0 0 0 0 0 0 0 0
"NEUCOST" 13141220.4921642 30528923.3484657 44651984.9097091 63637288.9422138 80083654.1208292 94273208.0308678 107334956.261357 119637775.899285 127994327.538803 135951619.765929 140677947.124239 142380782.327425 145689609.809411 146876171.131278 147942807.045598 146194984.112288 144658673.594396 142531303.376278 139087230.33151 136044460.210105 132299315.888094 128735780.257761 123829747.268207 118885354.459252 115005145.884084 110283637.99378 105965372.44382 100394693.219484 95101769.1802595 90339796.5441521 84962635.2186249 79393794.236033 73953217.4357008 69253411.6785353 64349375.7145021 59273516.104671 54839827.8841676 50151092.5111351 45851798.5574989 41608073.3094034 37675123.0207207 33833168.3655766 30335154.6854181 26994127.2215129 24034271.7546764 21157564.7671702 18563644.725482 16216967.0484961 14081152.1224318 12179073.4795792 10457602.4193892 8968514.50994217 7662555.42303272 6416626.28164217 5384353.42969064 4502929.44997503 3688567.74228574 3025570.3425246 2477017.10514401 1995395.70019421 1539087.82541768 1183998.75567787 918042.036519907 690505.480630471 507996.316784739 361020.87951334 260892.391059115 185663.349528701 124964.102099625 83102.9686650218 57640.3547801984 39559.6527450498 26232.3618824156 15494.2853899931 8103.43572288408 4164.10486041282 2136.09741631983 461.519389177102 0 0 0 0 0 0 0 0 0
"CANCOST" 107886013.855705 189331405.072692 173738701.140704 164529321.932466 150753602.448786 145399520.788813 134777617.391546 126686786.663721 116698357.995593 109065530.475273 99033316.2249894 91036299.9601922 85655699.0296724 77323703.320288 70604059.0033348 66047060.1941177 59257159.0468737 54522087.5454701 49587376.6920193 44626940.2109725 40524930.9510142 36287991.749853 32675106.6209628 29824799.9960141 26691018.8576903 23849615.4009415 21317130.3289535 19226866.7423325 17268501.5589303 15024841.5588491 13444594.2422199 11820770.2051223 10572506.1216061 9056026.41916051 7966098.2364183 6907153.57386542 5975705.50529351 5273666.2441908 4592132.06542651 3900255.8128316 3257573.61293163 2890898.4608802 2403998.90901121 2069993.19984927 1761749.24499494 1469276.52463512 1256886.26926101 1026961.46295545 890572.521611572 708787.616357534 578218.889051321 491072.606177065 401747.830811451 327621.105565577 247038.737273532 209482.498025875 167187.266905232 117454.082689446 110268.298456832 80409.2985264819 61767.7992488954 46523.431488542 36876.9730160326 23446.8336026388 21790.8698387805 13833.6508295311 10755.0942684375 7183.32100556118 5326.77467998522 3156.99625284344 3200.112920649 2033.6166809734 1340.6621695667 480.53028065338 97.7628441327725 157.765684341856 69.9628747577571 209.662290816961 0 0 0 0 0 0 0 0 0
"OSTCOST" 65020170.6067458 124482026.699308 179474042.494664 229640216.828154 275401494.911065 316813833.324611 352628674.345641 383045386.015229 408536386.419249 429390847.027404 445731436.480192 458080371.117491 466409435.983303 470868086.670322 472437116.040668 470893505.921349 466391697.717666 459762069.451498 450805557.430773 439844440.984444 427130446.586099 413369815.335419 398365793.579379 382285239.031029 365678393.114358 348606569.938379 331265159.574626 313513412.760027 295738463.48068 277821680.568853 260143176.334108 242759611.676632 225999234.366895 209672521.968334 193878845.903658 178506898.98443 163806502.964422 149870136.462154 136749393.321244 124239558.318824 112483956.080399 101431242.343179 91145354.7850333 81645001.2518367 72708611.974872 64583729.3499806 57131839.9072723 50351681.7211875 44175519.8137042 38635246.0218521 33571064.3571688 29095102.8854833 25090886.0923255 21485843.3610044 18265054.6400322 15386867.2750862 12892288.1504766 10720327.1648267 8838604.01222319 7219096.000373 5817299.66230959 4639607.8850607 3647292.9840079 2840129.36854802 2162070.90334141 1656237.05159436 1235306.09056136 923267.444558278 678184.922710928 490597.337896944 352812.700892775 242613.901096852 158410.008881247 97223.8659491159 55520.7803216249 27926.6349283342 14322.4209879497 6813.55725445595 2939.08070674021 1323.78379621598 225.74065589182 218.10691390514 106.509370062388 0 0 0 0
"DEPCOST" 19988317.0452967 37684631.9198836 53047853.0751875 66443022.767512 77908532.0411051 87513411.0475893 95422363.1536251 101768673.968366 106538107.227869 109944439.281305 112046269.334761 113060647.57651 113178270.991088 112340593.463414 110755475.787645 108481004.26858 105634573.934383 102352577.047918 98701835.0148686 94718740.6223446 90543183.6004278 86165928.0574726 81701506.5054253 77214192.3426245 72720662.716214 68309381.0256814 63929076.9918909 59640991.1233946 55428715.0453236 51399512.045716 47453993.8072257 43675002.6347211 40081005.4504614 36673929.0817596 33417442.3409877 30338370.4070253 27472104.4142037 24785277.2863521 22292607.6741519 19968862.7184413 17816083.172193 15825158.7280659 13999203.379466 12338275.4549231 10807991.6411856 9422385.94678466 8193638.50411521 7068504.5666646 6075157.31318363 5203934.46604898 4418444.34837224 3744207.40897394 3154108.58429736 2630400.02301601 2178509.17737379 1791463.46672105 1459585.14722414 1180861.28146474 944611.02257138 744999.294060405 575954.367928396 440500.982129997 334540.12199526 249344.633856447 180226.437198404 130914.380970138 95036.6058820038 67366.2386140632 46929.2312598657 32419.5896469409 22074.0018558077 15214.3914267532 9757.57230870625 5752.73946962711 3259.30601631229 1593.075672903 844.05440992068 357.28359494349 99.9757649569541 60.6710907370597 0 0 0 0 0 0 0
"DEMCOST" 75000622.3370417 62281645.2662336 65496374.2937275 71953421.6905307 81450594.0189696 90233257.3527083 98402679.8296041 105610435.977694 112618702.472583 120785271.494588 127116593.167987 133235702.51102 139477767.388959 146962403.173451 152381534.251163 155186212.019384 156191362.513276 157783543.094722 157222744.635329 156408035.212163 153402665.287418 151055321.268713 145322617.574623 139179501.577608 131845192.749128 127221005.66192 122576607.756163 119752742.739885 112725937.643441 108566289.988608 101699262.897808 96310133.0721097 92949007.0827347 90018526.4195719 85586532.9504887 81802649.058192 77577661.5963575 72505912.7224062 68846374.3956378 65215589.3343604 61402554.4535095 58778084.4009962 55323659.5586372 52823555.7195984 49653751.9763935 45040107.0509126 41780849.882665 38778617.7925656 36015693.6288456 33486102.2026587 30676447.5265475 28083060.5936569 26120849.1192039 24047656.5166331 22049961.8135202 19686989.6641726 17565125.4700077 16402589.1475098 14401309.2052441 13139218.4314784 11448807.0466745 9917375.47705366 8120264.67118812 6909760.25535627 5590313.89751949 4472248.41500732 3610502.29844758 2747912.78892716 2069585.68418477 1464491.31698088 1029684.28308766 727292.021106773 475343.118456588 268052.431161479 144939.221041264 70862.5213958393 43251.7748154679 19220.5899256384 5852.92727546932 2431.71115925617 0 0 0 0 0 0 0
"OTHCOST" 1311541804.15592 1352541606.76298 1358626723.83394 1351115164.33358 1337820511.54876 1322938970.43678 1304454428.93139 1280620901.93637 1252503288.98265 1220184652.18219 1184709393.02868 1148153002.13181 1109331391.48246 1068480549.80962 1026763944.87597 984657294.191258 940694665.767674 896302467.893994 851915688.374283 809060010.96859 764532686.985193 721518709.644015 679078307.720836 637595359.807742 597534983.635793 557714324.215412 519877240.133168 483210240.204104 447797534.383854 414014923.433116 381436391.839639 350466633.823213 321202128.143126 293191448.120345 266590735.694481 241898901.339404 218465702.205326 196857510.291569 176513458.074562 158120553.313528 140948547.199537 124776554.399076 110264944.472262 97003479.581248 84842546.1896269 73832961.3495087 64174076.1714611 55089082.3766768 47215146.2009258 40497226.6644939 34310365.4838526 28987435.0076661 24305983.730462 20219655.1642521 16665765.7248642 13642940.5325792 11063253.3643708 8959012.06398051 7139029.9709238 5634215.48353098 4356612.72153906 3324631.18521593 2533989.37961778 1869130.27172917 1359199.07566776 1000375.75876009 706513.869947446 498930.023810187 353911.231536458 242588.525718358 165523.047893192 113016.872581183 68006.419500642 40486.4844001066 23246.1655592879 10690.9279349491 5910.53982026808 2753.12153256232 523.83240583727 431.901891152403 0 0 0 0 0 0 0
