"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44979990.8614895 132543968.275251 197310993.434385 217639328.076416 241385325.421784 276964455.518043 316260356.256084 351054499.674696 377543227.520005 394405673.123445 404491403.865518 410370680.883095 412720023.46542 412940646.120565 411102808.905275 407166830.329337 401630097.129863 394127778.468983 384738624.455496 374468704.03909 363294869.863853 351110012.257364 338027954.543803 324526632.726224 310267754.40351 295840434.460542 280897215.695692 266104087.281164 251069743.830662 236245854.833343 221214505.192922 206417059.550878 191891799.311714 177617144.842924 163875075.893871 150539760.77622 137634030.898559 125352082.119341 113740487.136102 102702022.529701 92399228.1931594 82654773.5616138 73562796.134945 65235268.7811633 57572103.8244647 50561285.5751106 44227314.5090365 38425731.8070243 33245058.6361086 28547143.6445565 24369484.616851 20749300.2778774 17531967.74731 14667080.1810526 12176356.1215045 10017260.7570013 8171579.72364952 6581791.37051969 5252673.481328 4107239.89174463 3148898.13770434 2389822.74229421 1795687.03397146 1321635.82386141 943694.222893096 670525.373447508 470889.659543208 329060.231094552 220789.414886759 147935.944386529 96746.8730289673 66486.5664014097 41356.3675212052 21887.7352903251 11919.8386715815 5231.01645721524 2839.78869124093 470.190010838591 25.3818874237666 5.73283360995002 0 0 0 0 0 0 0
"CVDCOST" 586114437.034283 740943486.96521 872001399.188882 989537582.118635 1102626211.82509 1194323976.52156 1277349026.77432 1339807790.95663 1388062697.51136 1424248625.62418 1450030476.74682 1469909756.12017 1476236338.43657 1471411369.73302 1461653621.06038 1441170231.71517 1415388738.38825 1385479538.17049 1349885183.73759 1303174575.0137 1260644697.43255 1216417294.31885 1165264948.13902 1113595375.99062 1062773095.18391 1011919234.55514 961918974.598685 907089028.639975 855505125.675344 805719760.164871 755831433.683456 707841678.151387 660907307.935849 613370209.142224 569246687.209459 525221658.028223 484132406.757372 444854581.650682 410141375.141546 375099043.164262 341598045.394058 310692005.73582 279976843.99018 252332367.694088 227194525.368253 202865279.69538 180577916.128257 160373069.471204 141614973.964278 125506387.085887 109322106.373762 95943253.4096878 83946389.1233978 73195796.6369295 62346173.1798361 53457209.3767101 45628788.8262031 38341596.9181152 32191583.0765165 26717791.5530125 21995637.1878718 17707431.6538154 14184077.4838019 11408970.9153932 8689156.99061041 6564748.62783967 5176714.1195144 3879544.25666577 2836698.61525202 2162167.69266706 1583425.05117783 1051692.92320388 708663.449007927 456755.754705636 303942.506625026 152367.435462661 77740.9820499618 24831.3302134684 19418.6285646267 8098.8167515614 416.916602657337 153.825655328804 0 0 0 0 0
"NEPHCOST" 196633041.0026 193544459.325585 191376157.974338 192143858.24796 194832369.654856 197808921.838054 201697613.25598 204975135.056373 209696129.846825 213896398.595729 217490099.953585 221239340.256192 225006305.681011 225633040.963429 229376678.946884 230394399.115166 231172137.161583 229802581.033592 228249054.093518 225734892.994416 221949861.18326 216188042.487766 209507282.583281 203002465.06366 195834157.371246 187988970.821782 179886343.72993 170272892.344475 162530189.390559 153968859.919673 145521403.617098 136955406.372428 128832102.096291 119865840.240596 112136496.022736 103959769.65798 96729650.8657026 89213176.5970242 82177517.67644 75255378.0807164 68618068.5834049 62127073.5498345 56126628.3098639 50334357.8699603 45243712.2363214 40628825.3625741 35884920.8096068 31822634.280802 28372034.0469634 25043516.5604836 22072695.4771082 19116246.1887194 16529927.1505511 14184991.5373787 12167876.6674304 10430394.3137204 8790142.08685962 7298596.12934182 6110796.80353156 4931986.79759486 3960249.69620456 3117162.00023141 2358249.48608567 1726021.19595471 1312740.12995845 1069064.77269536 776733.709408079 548143.856977876 352185.434622518 235644.290328999 142727.155415953 90716.6348212726 66678.5458791141 36509.9302635919 21175.6408488788 13130.6594604393 3374.43029659578 3260.31912714568 1700.4710373234 0 0 0 0 0 0 0 0
"RETCOST" 8754164.63583321 12191112.9246414 14908871.0115581 17592756.6524539 20055050.7955109 22536432.2492602 24345771.9346262 26066763.4106715 27041357.4688132 28199560.5846815 28743897.1294681 29533261.1760639 29990120.4483807 30168227.3038393 30152006.0884122 30042718.3915956 29699253.0242464 29296911.0820056 29091039.0918822 28330657.9201119 27676778.4829544 26872922.370251 26058304.5845537 25108787.1300676 24078750.0519135 23121089.1246595 22073210.6351943 21230878.1418962 20113719.3195489 19078742.2635231 17993453.6405592 16948930.9626281 15822490.4939465 14765047.9656446 13746802.3743372 12682830.9093529 11640697.6875194 10661923.7116829 9740064.11720758 8921590.54735192 8056063.6516963 7210707.60681134 6460437.45046767 5787648.3457769 5093151.38384134 4529530.60860379 3997972.64515345 3471491.72089093 3047107.17330345 2618776.9600142 2247289.76676453 1926054.16608656 1631577.51602071 1377343.59370915 1145184.48361134 950052.081091753 785681.558137781 645962.028984123 519864.028570336 419388.999997245 319250.579178797 248904.780013783 194382.564439608 144626.803341177 104595.345249443 76746.8588983681 57307.7740749611 41779.4718842474 28898.3351568519 18366.1399230147 13776.994971121 9281.9801765474 6005.86120228173 3039.40112923614 1957.47709986037 809.508964740749 582.006846185505 358.818289645288 57.8034339321024 0 0 0 0 0 0 0 0
"NEUCOST" 13201680.5385061 30563291.6902268 44693404.4121232 63791844.7376896 80191603.5228412 94362988.9560789 107410766.798851 119730504.64181 128024873.479566 135979927.347125 140700581.765824 142408231.790859 145707703.502912 146868046.221266 147952559.410874 146173319.292141 144652994.649786 142511344.152345 139066099.931217 136040620.95963 132289897.194522 128738053.643442 123833859.904206 118897966.802715 115019718.931119 110300643.124056 105979188.802918 100396429.186415 95100748.2823041 90347127.6079514 84978164.5702621 79402883.8083184 73964677.8477173 69254937.8017971 64358972.3051593 59289238.8671962 54848887.8824237 50157322.5219683 45857868.1076278 41613884.2035483 37678030.6262948 33836109.9822287 30335961.9784779 26995423.2025107 24036086.6122244 21159709.9640932 18566877.6326772 16218827.5501701 14082299.5434832 12179829.8619724 10460223.3498753 8969818.7740477 7664432.10824934 6416916.38642351 5385223.58213404 4503770.17697349 3689032.64028987 3026355.17017376 2477500.97277217 1995644.63700114 1539328.34407171 1184231.14085085 918266.563257085 690722.414676053 508205.914896412 360910.386215104 260907.012097319 185852.395016647 124964.102099625 83102.9686650218 57640.3547801984 39559.6527450498 26232.3618824156 15494.2853899931 8103.43572288408 4164.10486041282 2136.09741631983 461.519389177102 0 0 0 0 0 0 0 0 0
"CANCOST" 107953697.418515 189192711.526332 173664870.799095 164740327.654533 150883424.949613 145409108.847301 134803914.408798 126680394.130963 116691679.188409 109084712.924444 99033316.2249894 91040713.1987357 85661088.3878742 77321692.3763157 70604059.0033348 66038041.8478397 59264217.6527609 54528256.9859079 49589987.7489549 44623170.5839769 40532575.8825851 36292465.3733706 32687820.9538775 29825784.8559417 26682219.6682986 23844362.269302 21322627.5931329 19226866.7423325 17273116.263665 15022233.6647898 13444684.2509478 11822257.3614812 10572506.1216061 9054563.60136575 7966098.2364183 6908726.05007467 5975705.50529351 5273666.2441908 4592132.06542651 3899217.52319427 3257573.61293163 2890206.30342098 2403298.04028034 2069993.19984927 1762417.15239731 1469276.52463512 1256886.26926101 1026961.46295545 890572.521611572 709401.663916863 578218.889051321 491072.606177065 401747.830811451 327621.105565577 247038.737273532 209482.498025875 167187.266905232 117454.082689446 110268.298456832 80409.2985264819 61767.7992488954 46523.431488542 36876.9730160326 23446.8336026388 21790.8698387805 13833.6508295311 10755.0942684375 7183.32100556118 5326.77467998522 3156.99625284344 3200.112920649 2033.6166809734 1340.6621695667 480.53028065338 97.7628441327725 157.765684341856 69.9628747577571 209.662290816961 0 0 0 0 0 0 0 0 0
"OSTCOST" 65021233.7519332 124100357.957374 178725538.004339 228685695.975793 274255190.108266 315618490.167594 351406392.492567 381820855.531129 407297561.735207 428160051.986267 444501266.473794 456877518.658182 465238585.104121 469747583.530073 471372354.508399 469855797.209474 465393428.531476 458804987.450783 449887391.204333 438960631.054032 426283484.194769 412567590.257083 397594306.209962 381558949.235288 364994008.021579 347961265.824604 330659721.797788 312945251.864806 295207265.672404 277325644.22189 259681608.551342 242335450.334443 225608637.335912 209312490.122219 193545008.76671 178204343.350075 163530680.010379 149616135.078163 136515277.257797 124029345.337584 112289717.28318 101253915.208318 90986595.5171654 81500183.9208548 72576436.3433169 64469070.3039446 57031349.9163362 50261709.2716712 44094767.8759256 38562205.431071 33506290.5864064 29038137.8299668 25042059.4919058 21442935.7759328 18227983.4062037 15356052.0488745 12867585.5657408 10699624.3446216 8820609.30136554 7203878.11334819 5805248.92544393 4629714.9585549 3639718.64509828 2834579.36086662 2158081.1089797 1653233.9172748 1233040.24794879 921387.122921744 676895.636672541 489607.105663581 352097.15793361 242062.941457268 158026.848697479 96853.6628730117 55226.4573831066 27849.4264106769 14322.4209879497 6813.55725445595 2939.08070674021 1323.78379621598 225.74065589182 218.10691390514 106.509370062388 0 0 0 0
"DEPCOST" 19987307.5580664 37683777.1807147 53049041.0633337 66445831.3015563 77913488.0593394 87518792.0932276 95426508.5639424 101770932.599744 106540983.979682 109947189.384892 112048726.154441 113062073.895178 113179425.773759 112342310.497874 110756878.044817 108482436.01827 105635652.951933 102354060.285193 98703017.1170219 94719082.8994972 90544256.4886886 86167569.3293315 81703207.4117134 77215627.6826398 72722112.1231999 68310404.6793006 63930269.9600747 59642465.5570783 55429890.6681405 51400952.4982808 47455198.5069196 43676276.8017546 40082230.8910455 36675210.5553854 33418839.9370505 30339919.4147391 27473443.0650772 24786563.6008552 22293917.8115368 19970085.735132 17817332.4903944 15826194.2295735 14000137.880014 12339047.3502769 10808545.5956171 9422871.06560238 8194261.17076341 7068915.78017222 6075446.53905787 5204217.33180395 4418740.76488626 3744422.12225743 3154293.18284532 2630575.0868194 2178701.32227745 1791695.53635312 1459692.59283573 1180971.95537825 944739.980277149 745087.818564013 575988.291766096 440516.814897702 334541.346975518 249345.817412252 180227.580730582 130928.276289576 95035.7457386333 67379.1914207212 46929.2312598657 32419.5896469409 22074.0018558077 15214.3914267532 9757.57230870625 5752.73946962711 3259.30601631229 1593.075672903 844.05440992068 357.28359494349 99.9757649569541 60.6710907370597 0 0 0 0 0 0 0
"DEMCOST" 74329662.9922308 61408523.4339259 64876204.5848447 71500676.8273477 81297716.437605 90311397.3686496 98489019.4903665 105631369.286202 112639408.352744 120851172.69015 127167591.061671 133318338.949146 139529501.816282 146993593.345585 152397684.772532 155193016.257185 156202856.878793 157786881.939887 157227921.651496 156411454.523521 153398996.851268 151036291.556109 145319012.718797 139194238.514438 131852863.386443 127229316.089828 122580857.308658 119759322.614828 112740231.559875 108592391.161684 101712483.020627 96307942.820748 92953102.938052 90021166.8171821 85595658.292838 81809935.8615452 77584189.3916226 72506083.4609804 68844431.5288985 65209758.2607488 61408896.9848009 58780364.9429131 55325830.9665703 52829509.3418144 49655439.1669549 45042012.7561908 41785417.3044114 38779885.7942035 36017669.2175517 33486282.9492939 30676679.0526855 28079703.2479199 26120849.1192039 24047656.5166331 22047237.5156094 19689452.338607 17570054.9529333 16409467.1285526 14403681.7006617 13142620.5571439 11452541.0377007 9917578.02189184 8120587.63100304 6910958.49888148 5589234.6652336 4473104.67802888 3609311.00362138 2748994.07483164 2070438.84366403 1464491.31698088 1029684.28308766 727292.021106773 475343.118456588 268052.431161479 144939.221041264 70862.5213958393 43251.7748154679 19220.5899256384 5852.92727546932 2431.71115925617 0 0 0 0 0 0 0
"OTHCOST" 1311527188.40584 1352601604.55883 1357865301.94359 1350560913.69651 1337460376.34554 1322805138.64283 1304522585.96475 1280659316.03036 1252520621.92125 1220204890.96745 1184710591.92429 1148144073.02423 1109284545.91576 1068447302.07565 1026730193.58266 984612552.421654 940642287.526852 896247527.784593 851850675.972173 809004228.96895 764468948.882175 721456613.689271 679028698.36137 637542091.639807 597484984.232034 557661078.773429 519824179.015193 483164970.184369 447748657.512613 413972095.833019 381392418.61075 350424750.970902 321166654.65174 293162160.518029 266559593.16963 241872122.667786 218436524.322667 196839008.665085 176495285.387704 158105999.276465 140935410.723992 124761814.950941 110251115.753789 96991676.672374 84830886.8239166 73825558.8278752 64167048.8416618 55081531.2039827 47208988.6692514 40492438.2903151 34306313.3681893 28982719.9405554 24301922.9738291 20216715.7624692 16663828.9747711 13641763.8958872 11061493.0177155 8957594.46809211 7137626.08993869 5633475.06012718 4356189.38545064 3323786.77362518 2533262.18529006 1868690.96391589 1358919.63934903 1000391.02490426 706341.406984853 498925.040040252 353799.696794302 242549.481201683 165487.213339332 112964.94710252 67993.3989266766 40458.8164714947 23219.4332611121 10679.1841232374 5910.53982026808 2753.12153256232 523.83240583727 431.901891152403 0 0 0 0 0 0 0
