"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 45158750.3828092 133420330.117814 198722961.546765 218707585.038669 242875871.66648 278891550.049534 317576861.774979 352437728.481066 378587308.634066 394935064.022389 404723287.41057 410675910.331478 413316287.593664 413379089.942871 411406859.405489 407438195.251563 402034953.00724 394236760.819257 384924131.044407 374747297.71335 363188110.410843 350801626.801943 337639035.539512 324059608.774733 309824961.605114 295595751.45732 280508955.612967 265571666.341704 250555518.639591 235634053.352733 220840477.124753 206164312.391122 191775415.887999 177531658.380633 163780494.626136 150489485.510249 137851834.012349 125533072.732819 113953700.704819 102864070.511919 92400883.4817505 82848460.6752695 73981400.5215158 65670019.9009792 57927845.573111 51000591.062977 44625433.7532534 38792686.2774351 33474611.3114471 28788560.1931241 24564432.7744332 20919181.5293241 17663557.6860601 14744894.6886575 12242428.1429398 10058483.9127524 8174816.89918586 6571066.87262685 5243266.01324526 4089909.40960118 3179935.34370889 2408540.06984339 1815350.70361806 1344862.71064472 970844.878780688 700148.100211806 487941.382279185 332837.182596013 222221.649015998 144779.130704215 92885.6966840806 57163.7493044214 34705.3177004046 20521.3557552539 12675.5508444357 5443.51825663571 3659.86610556746 1395.37246789854 399.347604108446 222.995571088504 51.8686005261821 0 0 0 0 0 0
"CVDCOST" 586123801.087198 737836973.025199 871882510.47387 989823247.243265 1094385971.57019 1198597479.30989 1273457259.48665 1337649594.08027 1387913167.11287 1426563752.71156 1455140024.53362 1471817990.50117 1476343967.63091 1472563398.19843 1462177883.10444 1439665505.36158 1415010748.71846 1387089512.93078 1345944709.23563 1305541759.4324 1261980602.68941 1214890475.70319 1165787094.52507 1114962392.04614 1062630393.06296 1010807706.53047 960144694.590214 907199724.911206 856769468.357689 805372914.278497 755213950.712846 706328573.670978 659235317.298784 613237525.241187 566395703.44982 525181258.370921 485542040.899872 444896629.43146 409068181.215139 375287687.143647 340783566.809229 308943268.463845 280598095.06651 252441078.973485 226809709.735508 203237617.485419 181604742.429034 161331876.154978 142932880.908404 126074261.786228 110399625.440533 96892796.9281998 84100489.3475871 73086457.7614244 62603455.2224439 53167826.537419 45469215.8833517 38312986.7442282 31954111.1212963 26708694.3624243 21741876.897916 17688873.7510259 14115892.2397231 11135659.4774152 8755154.05369874 6807435.12298774 5178051.19513703 4007100.05282005 2992809.74403079 2144246.47650839 1499044.81437892 1000026.80434326 705922.00267759 438194.87115883 263115.963040845 113604.354198068 64095.8745227042 23358.3995132406 7492.04967314355 8847.22683504187 650.470007218228 167.786225235274 0 0 0 0 0
"NEPHCOST" 194014230.12782 191524577.693072 190450348.030955 191156098.32983 192758459.916617 195993380.701925 200275120.571422 203773302.958485 207277864.614849 211682163.898657 215232855.217719 218716396.488875 222367747.966478 224945064.602036 227449408.814754 228628557.43728 228507565.649256 227883444.890831 226768246.936539 224647672.00368 220533531.761181 216794965.220564 211767815.922904 205287542.752609 199644199.690997 191378109.822246 184531829.88013 177450984.892173 169294640.793039 160218780.467183 150956693.238476 141722160.396454 132853350.036792 123966076.547159 115242988.709235 107435069.702092 100030954.812706 92141013.8404696 84483013.9561712 77527451.1408651 70769318.4138826 64068984.4503586 57985933.9336537 51934173.2929443 46427880.0146755 41183147.9926699 36746710.0397466 32205994.8438672 28258141.2637601 24799751.2262404 21468449.2509507 18706390.2426762 16349236.0123751 14173304.1548607 12037289.9377849 10030165.7208135 8438730.07499712 7056713.89952693 5819025.48546616 4792312.17313352 3968857.69033592 3193572.66275522 2535248.46330672 1912793.41617366 1353728.49300443 1088105.07987425 784890.613761823 534053.972948281 360924.909539223 240622.985012439 156637.539672339 103647.061357888 55425.606328277 33941.7548900914 17085.8184012337 5576.51312346394 5387.93538498931 3421.2762992009 0 0 0 0 0 0 0 0 0
"RETCOST" 8689146.08181909 12256894.2086861 14805383.3654738 17807039.5474825 20377007.3296126 22785494.2315044 24304113.0999522 26139805.8857893 27324110.3344627 28269178.5494544 29232717.7630573 29790512.3725068 30040982.5102368 30310246.9542204 30422296.499172 29903885.6821883 29653275.859186 29386272.4354159 28942796.0803755 28439958.88645 27811989.195299 26903785.5048626 26083760.0264683 25203680.7075738 24282538.6779935 23361157.2739161 22277973.3785275 21375050.3476874 20270893.4160674 19202178.9053243 18180666.3152595 16937030.3231569 15917750.4499106 14859796.7422684 13839091.8616849 12761308.3643785 11885822.0911168 10864483.9672979 9884322.95072069 8974263.85379388 8112884.72784497 7357490.5868345 6526267.69721457 5883346.14345872 5218083.24298012 4613163.5209445 4031089.08044412 3536162.68534673 3092468.40365506 2670793.59614701 2280312.0863529 1940638.21494439 1668782.74849846 1397516.22341791 1163452.84812033 972461.833502224 787687.113510996 629320.48283541 512172.735669765 400588.061376324 320754.945899275 249950.467237441 197270.884534675 144303.878615994 105209.384707808 78258.1040118776 57824.5114217426 40079.5482136728 25885.9861043385 18760.5793123537 11948.6135258274 7379.86349149641 4392.82955832477 2480.15272880084 1627.68192193761 519.218905284363 434.926068593622 223.11015322207 103.720901405001 100.21343130918 64.5528082833247 0 0 0 0 0 0
"NEUCOST" 13556090.5817756 29777619.6707794 45335565.3042974 63261252.443129 76769861.8185015 93194259.0580544 105645876.430156 118131432.235606 128086614.11852 134610338.309097 139350149.652783 143545666.222498 145543727.759116 146377206.190434 146852918.559982 145871162.675032 145179445.57185 141769174.511569 137785622.401824 135597538.612005 132167249.572162 128253459.241981 124021495.605163 118683720.676071 114715595.1938 110038365.664922 105153097.846148 99686154.1189956 94782069.045513 89639838.5532642 84273915.5125093 79000974.4936124 74120712.211402 69169091.4575615 64008707.1934895 59455269.3983804 54721209.8698076 50262417.2586861 45783650.6308838 41606619.5835961 37525838.9813282 33754120.9210669 30321053.3891719 27011126.3087407 23991304.9939961 21244578.1560667 18591044.9881441 16250331.5466037 14113508.991486 12248743.0663308 10524694.322229 9042206.48486018 7676694.34624533 6477429.60326738 5428504.96266589 4492817.02584531 3711715.19313496 3006339.97254636 2419364.85852819 1942416.31085954 1522263.63291122 1164081.85947435 888640.153203206 660878.709846544 484373.215770307 350052.705296767 245794.031411818 162541.17596179 115016.606950263 74725.5149745285 52437.4271677242 32602.8170811858 19781.8101674058 11673.1744948995 6589.34027647008 2796.1438262445 1782.41644597346 553.135447324738 0 0 0 0 0 0 0 0 0
"CANCOST" 108173779.393915 188077063.633872 169764567.915529 161735520.966374 151670917.633398 144576690.790924 136709276.273176 125390654.662221 118867204.823516 108739733.334546 102556712.10508 93070268.4926985 84789541.1929204 78634422.4904003 71485474.7535419 66793234.7935161 60425198.1633689 54427403.773176 49700878.3099755 44428555.7625508 40894020.6984726 36514676.065568 33071422.7714799 29995120.0692306 26363376.5487663 23948270.6780472 21326739.2282608 19410992.8243704 17276619.8367274 15327158.7841285 13346545.3740607 11871198.4715187 10517450.1512029 9204179.31594419 8106019.25485516 6904551.4378517 6077146.63833472 5185467.44433765 4574991.45736977 3930861.3603146 3347502.77603097 2925904.96945938 2455904.77246396 2073160.61167163 1788008.44572833 1476379.5401223 1237955.06842152 1041937.87616916 897372.645057861 708019.668809123 605514.76812613 500294.629534846 417022.812353435 324975.438205838 271209.462136495 224245.254472275 174753.551008322 136313.102859664 106120.184027662 78041.6429290772 61110.2025699636 44075.6726224279 31677.695430596 25441.7672281346 17611.5861180977 12742.2034368811 7454.23875650789 8878.82934247297 4364.64991826656 4499.92079148894 2371.93899415056 1404.94548902185 1134.98577698866 600.527464112185 641.764070583364 159.974975577578 76.5887635966911 69.0105228861049 0 0 0 0 0 0 0 0 0
"OSTCOST" 64847564.9088312 123802640.051981 178415279.769597 228258114.741898 274474110.5531 315776763.567427 351700854.769949 382380435.193367 407969025.675144 428592451.971693 444591260.76641 457059441.022856 465408208.938762 470309308.839165 471666499.967021 469961744.73864 465434646.610479 458614746.1679 449750565.919745 439000962.88652 426512843.682856 412759429.834996 397785986.018622 381780910.23095 365169262.313832 348194667.344635 330650242.881507 312963724.658525 295135131.248456 277394586.847838 259837321.548335 242593841.380924 225837851.664558 209573722.193446 193779714.258001 178520192.449637 163854513.953337 149959612.909218 136851128.533098 124353684.481516 112579035.71771 101561795.282232 91413781.7506505 81874365.1035819 73025239.3256093 64943472.8995504 57495387.2086435 50669173.674396 44425275.935586 38825347.7528478 33748524.3587206 29245897.9168272 25155730.7798239 21514717.850339 18327468.9160789 15455269.2414459 12980636.3659901 10807073.8668816 8890679.70560695 7248047.57119085 5863658.17976562 4670248.62889976 3680548.13936042 2875787.62475483 2202880.43560024 1684935.78396106 1253014.03582326 931034.103039509 684719.954573772 490171.366618223 348579.332180815 237094.505335675 156061.37486877 98348.0327137388 55724.1881866844 27919.5091914163 14701.672071059 6470.45265620345 2648.34133122639 1506.15413550071 332.676016639894 112.979884298344 0 0 0 0 0
"DEPCOST" 19973750.5865001 37647621.1605582 53074178.5627777 66457122.123837 77896420.8168752 87624893.3459188 95542456.0297098 101832909.768309 106586097.891413 109944567.680791 112076877.158262 113072465.410391 113113090.934749 112215282.372903 110588031.915275 108277332.855054 105453590.460106 102190546.034321 98525677.6564535 94570438.555282 90391375.5031682 86053752.4956323 81584603.2337124 77127345.2347471 72662223.5270035 68247154.4063552 63847294.1339877 59536455.2615043 55336187.3216861 51274157.2716031 47350764.8184898 43588097.2283186 40017081.2948461 36596153.802254 33354542.7281583 30293911.3263596 27436148.2654485 24760910.2807425 22275735.8301562 19938478.6494359 17769255.9688521 15786857.6597674 13992522.2907171 12339412.9630707 10814375.7572528 9452536.16954113 8210232.70143436 7086696.99708034 6082889.07387282 5209836.3408181 4424402.69149338 3746338.93039358 3147556.22481467 2625114.09320218 2174750.33403505 1783799.66606385 1451013.39054964 1172266.4166109 934858.765769499 737435.479539499 573022.968718586 437977.752716832 332385.289782859 247907.936664721 180080.029100645 131408.899869064 93986.066948614 65627.3673920408 46200.4682442769 31559.5235898453 21096.0791245774 13679.6231603384 8385.54567882082 4923.01029167895 2746.94809197926 1306.46793694457 831.152738882765 284.130527610421 81.5422938307806 53.1670150897363 18.059861648169 0 0 0 0 0 0
"DEMCOST" 74842279.0410896 63568160.2461513 67127518.4123263 72448243.8336617 78855366.8272434 88879881.4085092 98623031.937725 106432108.684985 111742920.861053 121277142.996278 126668953.348561 135486669.743689 142629598.226166 148389731.014088 150020473.722118 154674049.204681 156918484.216456 156217315.603477 155869141.278404 155233195.746499 152813636.953163 150670634.604352 144772814.697368 138425448.179791 133232190.358167 127025819.041775 124556450.698597 120406008.095745 113739229.109075 107892900.128914 102702009.314814 97003910.2579002 94032254.4129451 89727247.4211225 85240955.1884465 81028432.734006 76762702.3188772 72212629.2923046 69319909.9697128 65140319.1414024 61753364.8341296 58410747.850478 55486127.9635018 52604067.3913257 48964397.3265718 45963138.9973934 42027953.1168472 39358377.2644789 35933129.3564086 33625634.7156126 30871389.3145851 28388570.4316171 26187051.606402 23645815.0202379 22001290.6648756 19737949.1306886 17845534.7411746 16335676.519769 14320996.5222575 12990116.1219436 11344636.9494597 9888292.13016694 8193016.66824306 6697115.49377415 5379131.24065086 4444472.85781105 3507607.39841911 2729678.36649304 2131784.10900738 1533119.82686751 1032749.93212788 642359.457540109 417283.053192702 261979.540161604 142814.58756496 71680.522515982 35462.2231991559 19568.7213790386 4896.92426409514 1919.89867556995 0 0 0 0 0 0 0
"OTHCOST" 1314497844.01511 1353217548.30821 1357082879.17494 1350016286.00755 1338792403.83574 1323391164.56355 1305917049.56061 1282412211.08538 1252742953.1114 1221730012.20123 1185044244.95342 1149095274.80008 1109244978.25108 1069327844.22662 1027676089.28207 983751704.287943 940712472.847389 896222112.634773 852439655.25634 808995107.984398 764604710.949906 721810193.960803 678356762.637252 637052563.201739 596843740.133591 557960273.565838 519936390.440477 482497967.951945 448086585.50268 413797322.017313 381805060.178887 350680141.656663 320927447.451869 292699442.460394 266905353.171029 242127442.013666 218406611.369582 197055926.931465 176665618.514585 158134672.618874 140714992.154294 124810020.645236 110243019.019709 97168654.5455957 84970348.5177208 74369449.639058 64363037.8149757 55421726.6334565 47482878.1696948 40661870.0072048 34423573.4091317 29111103.1418042 24300748.059297 20229053.7954761 16753063.1594641 13642841.2572038 11062653.9325567 8958574.99233597 7104003.78044346 5616543.8490254 4397730.55835284 3352619.37382403 2535793.25443122 1878013.83670103 1375108.0979726 1019794.46182811 715573.941168949 502277.042724914 354410.730589507 240539.573168242 162462.037766778 103620.221364823 59719.7271666687 36319.2337641102 21252.53033648 9026.86579327367 5968.57412686537 2313.79447832768 817.897150315868 541.330344955594 110.087724389329 0 0 0 0 0 0
