"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44465732.3243705 129846832.17356 194066143.88941 214327063.089313 238348326.247029 273760787.028933 313781016.880486 349001404.812978 375952701.549374 392894978.817221 403193973.749408 409221872.002267 411666307.929881 411940658.841931 410211774.826737 406359952.25124 400920416.721643 393416266.291162 384125823.897191 373883969.935513 362757971.358482 350673028.285675 337691362.766023 324272350.36879 310127880.511603 295762020.110406 280897688.554599 266081621.445029 251069900.28054 236283518.392578 221239234.756641 206469104.512862 191952413.947504 177622146.473958 163849460.861553 150494512.784711 137573637.072385 125281013.227212 113682607.840967 102644245.30332 92341204.0983636 82592290.8423802 73501368.7414063 65192369.1213603 57522762.9003832 50513000.1794798 44178790.8786643 38365014.6312359 33181815.3449528 28490859.715642 24313449.0902122 20695399.8541932 17479702.7793929 14616339.1030631 12123635.2621192 9968164.63228326 8125357.85797656 6539062.53522929 5217608.23000265 4073782.37838147 3122478.47257299 2366989.49633392 1776361.96936736 1305308.73863957 930637.49206529 662806.350920955 465924.630310805 325752.264819238 217741.52847988 146597.213093712 96001.0366058406 65959.4926375118 40977.5205356337 21327.9534647128 11086.584116496 4576.43228965229 2416.39625996836 344.146891866835 25.3818874237666 5.73283360995002 0 0 0 0 0 0 0
"CVDCOST" 561995236.372056 727021304.17262 858193299.564143 975006169.00617 1087600509.06312 1179316617.89361 1262782416.74264 1325168635.52151 1374263514.11303 1411126409.81335 1437842506.95633 1457950500.90211 1465023155.48077 1460734030.56296 1451721894.35494 1431960411.34575 1407534228.10895 1378332367.54764 1343578902.22978 1297495796.45188 1255896431.12636 1212131772.1255 1161600571.64802 1110374533.42443 1060227801.25477 1009288942.20258 959980911.68744 905356537.744632 854337767.562227 804646483.999719 754909976.158916 707126724.661769 660228582.414432 612942934.973157 568981341.703981 525107983.294414 483966588.197332 444845620.348053 410027285.430164 375060064.293459 341540497.580387 310732836.92674 280136368.802683 252305489.133335 227222038.786338 202895059.843806 180576794.691915 160315568.755321 141557378.379789 125475361.142599 109374757.201308 95853068.2877304 83846742.7051512 73108753.4047821 62215099.0543496 53348635.1573412 45600763.0928435 38257570.9852879 32038196.7837321 26594703.1149321 21900586.7275947 17606140.8339056 14092803.4407419 11311525.765965 8635170.80866816 6507051.75919666 5138931.65552055 3823620.82806053 2820837.54330604 2160294.31320735 1561522.63579437 1036210.8292567 679484.604712399 452184.79568647 295597.848444814 144505.626153185 74143.1431193053 23813.3951822259 19418.6285646267 8098.8167515614 416.916602657337 153.825655328804 0 0 0 0 0
"NEPHCOST" 195958586.9649 192383853.019382 190000905.707176 190019173.531364 191778418.733645 194087296.080559 196971486.012232 199271585.68758 203296429.764728 206730638.213885 209657987.754688 212834617.541023 216189071.207081 216948333.214114 220170799.338198 220962722.969109 221489982.759272 220052626.286835 218662253.059308 216296978.913159 213055761.724554 207689399.907213 201600474.776424 195954272.903887 189070159.237972 181704666.141768 174106859.880887 165240933.529033 157726335.080181 149817583.452441 141939050.204029 133740891.043489 126003626.789998 117430395.132403 109898379.147134 102084602.670518 95069463.4161459 87924295.3622007 81266585.6639695 74428574.3582531 68005748.9059547 61594756.5067143 55716037.5033792 49999259.3629828 44992442.9895731 40490573.4024433 35815777.1983545 31864155.353768 28501477.8131925 25149378.756143 22146083.7081473 19216857.5653022 16604333.3031777 14264590.5526913 12253649.7599407 10511337.6471175 8865306.23663156 7357436.56408432 6170353.20170877 4949433.91511914 3962234.28962154 3119369.25089666 2348581.85932573 1734238.89361109 1310363.46126544 1068921.13286159 784755.292819196 561037.527963591 362758.60352633 248362.346494369 152228.975938921 95188.7790176776 68838.0917413955 38614.2145030235 23208.7657178948 13130.6594604393 3374.43029659578 3260.31912714568 1700.4710373234 0 0 0 0 0 0 0 0
"RETCOST" 8430258.38869 11877072.0191163 14539057.3482034 17174509.175067 19632122.5766637 22078725.7799523 23916724.3272656 25604137.5785687 26593903.3832727 27759395.1490186 28329867.349127 29092675.1731126 29552721.385664 29749437.050215 29763355.6449468 29664573.0137549 29350827.5068189 28967530.4776381 28801312.5154469 28029255.7375958 27413081.199022 26630278.321818 25837568.1370128 24928529.8761714 23922090.3791821 22984691.1092938 21945316.219749 21111771.8944219 20002022.3793636 18994770.1032828 17922187.666589 16882983.9592912 15776224.0881298 14725503.4077733 13709297.1523115 12649542.635278 11607076.5656151 10625140.7168402 9710753.53950599 8898407.57667988 8035350.71120688 7201476.26448389 6451337.70244282 5783853.05816559 5091654.4723426 4528450.17367542 3996152.87061506 3467904.74138803 3046807.78734299 2616380.1479526 2242599.04464174 1925289.20483577 1628771.8690562 1374611.98453368 1141106.6556752 946941.906997964 783606.635831019 643937.439129742 517277.297224119 417765.506948737 316917.533562818 247407.435385056 192499.982320399 143981.112024626 103387.78296881 76226.9252346769 56878.067327274 41349.3730824013 28079.0875454603 17988.373437646 13717.428329482 8915.73252760475 5830.93372043464 2899.29184604853 1748.1122932032 704.725365195961 514.336628872971 331.505075385927 57.8034339321024 0 0 0 0 0 0 0 0
"NEUCOST" 12277998.4909414 29856164.2509721 43816834.2995808 62965558.6919724 79061661.5455305 93007945.8343832 106159439.234387 118273224.33084 126825109.183415 134720695.639424 139129485.124962 141034085.215228 144497985.742933 145848523.221971 146775242.297682 145056122.498794 143670441.399078 141489814.830701 138185957.385686 135186479.204219 131499625.132507 127938962.846782 123236936.466268 118442690.971987 114487565.576532 109887271.726448 105598880.279358 100174011.273913 94856275.9661248 90148065.602051 84861670.6138437 79274104.8788146 73884984.1827406 69183277.5863916 64301231.7940898 59203309.9741607 54789783.6382889 50113754.2555917 45808832.1282051 41575171.2285413 37654367.4154447 33817818.3438153 30344310.1576872 26988303.6958132 24020305.0029753 21151562.0478299 18559234.1277779 16219489.3945258 14075436.8435467 12175387.204436 10457814.3466997 8968676.45997889 7662629.34739103 6414927.85118741 5381746.19286383 4496661.79051904 3683060.0289878 3019629.0834607 2471929.59623788 1987930.42981392 1534195.7724545 1177696.21359309 912347.615799148 686123.520425772 503861.719613235 359681.99887607 259735.057850401 183193.861239966 123344.77229656 81827.3205018638 57536.9657898607 39733.2498947907 26155.4305682711 15399.6335208234 7919.89761144127 3806.72031205719 1836.85238007624 315.255016388705 0 0 0 0 0 0 0 0 0
"CANCOST" 108316369.254185 189738888.505781 174061292.498888 164918356.67176 150906935.060769 145440777.083108 134810703.206189 126689541.797866 116764532.671844 109131295.463788 99055666.7008045 91098784.8678748 85765352.2916502 77381561.6808336 70666989.3710138 66108107.7884146 59308975.4552497 54582536.7983375 49628546.8313307 44646551.9887641 40557534.9247747 36347751.7131375 32736641.1603924 29868583.0649077 26735787.8492989 23875966.3514004 21314998.5867652 19257431.1858233 17274296.8326874 15036027.2626695 13448019.3753289 11831758.4096981 10579456.9041858 9060943.86788239 7972378.55068029 6904349.14849933 5982737.57195168 5266675.97426091 4594801.58971585 3909447.78706252 3264925.73409391 2890969.87409315 2404092.7033432 2068232.2902625 1757983.67015751 1467808.89413099 1258531.56701238 1027249.27875276 887119.7298866 708820.238139702 574601.660035205 489542.15083821 399790.445155393 327134.593953055 244865.26742019 209523.557079416 166851.447404746 115958.761727357 109636.776922995 79697.331171803 61949.3831680078 46021.6221215553 36391.1892278637 23067.3913750452 21395.0139128404 13633.7409161955 10875.4254485233 7183.32100556118 5326.77467998522 3043.42130754804 3200.112920649 2033.6166809734 1340.6621695667 480.53028065338 97.7628441327725 157.765684341856 69.9628747577571 209.662290816961 0 0 0 0 0 0 0 0 0
"OSTCOST" 63225937.0280282 123656809.028079 179328389.113116 229903091.809467 275809372.65905 317184652.921967 352979505.905835 383372651.285874 408820312.244789 429677724.270057 446014077.432355 458380632.17473 466705647.676715 471170434.610328 472764526.727485 471242066.834405 466756205.092862 460123617.453007 451201700.473179 440238021.877131 427512656.128332 413744789.422676 398724085.931261 382633488.52999 365996024.531011 348915987.127026 331560139.929466 313774604.612259 295992110.166878 278064124.302544 260355000.129264 242945127.231346 226169599.525192 209819680.18968 194011815.913637 178606603.971748 163892974.02165 149928531.669828 136792216.97464 124266530.933973 112493918.965453 101424432.521906 91135862.3980776 81625843.7250106 72680708.8676285 64549494.8658683 57091864.7308068 50305955.3882473 44123561.8020767 38585308.9751339 33521113.7277647 29041326.5909149 25039107.6648423 21432696.0576518 18213162.6361973 15334047.215636 12843254.7697709 10673005.3012988 8796435.96481432 7179516.19194682 5780312.16707034 4606868.19594925 3617491.75572982 2815503.82541271 2141470.13558308 1641205.24758484 1223797.52389438 913377.625851765 670534.580074803 484739.905058059 348547.930962329 238622.646566509 155280.399788382 95403.334661725 54176.6397484281 26600.5441020753 13935.253148797 6715.17793590446 2939.08070674021 1323.78379621598 225.74065589182 218.10691390514 106.509370062388 0 0 0 0
"DEPCOST" 19947051.1964294 37614632.2539528 52957374.5215318 66340040.9400517 77798662.9262919 87396063.6459515 95302657.6438228 101656039.631596 106434619.079051 109852382.127703 111965315.308616 112994143.630734 113122487.233413 112299968.761832 110726474.106991 108465705.300962 105629451.167345 102353221.714766 98712334.3508516 94736572.1953339 90569027.489061 86193632.1353662 81730064.2455852 77246209.8227791 72752615.3088622 68339612.1814473 63958190.920827 59667225.0841069 55453258.8540178 51424546.9237223 47474407.8006267 43692146.7346974 40095478.0851451 36683797.1980404 33423875.813506 30341337.053384 27472920.8890052 24784184.4995552 22288996.4728385 19962390.2923492 17807017.1053646 15815790.2446202 13989205.5551343 12327413.4564359 10796833.9429717 9409570.62327734 8180427.1098762 7053967.41644638 6060239.85266457 5190894.29730534 4405977.42146861 3732243.1715947 3142925.13949169 2620179.40283887 2169419.32746768 1782970.14233386 1451817.24394952 1173988.25527756 938657.519820376 739343.024184915 570936.311378402 436201.52899083 331214.407800317 246521.78586698 178032.062190415 129476.628492174 93925.6648504459 66510.7215218403 46343.9215654681 31929.1257747858 21792.5236259132 14981.0507360203 9524.58030226304 5617.85950795632 3127.99006676134 1521.26921355898 816.054964423649 346.661612091828 99.9757649569541 60.6710907370597 0 0 0 0 0 0 0
"DEMCOST" 72712726.5777165 61798889.714136 65414937.2744222 72114226.2259453 81821426.7417271 90738675.974929 99035401.6339221 106325959.924593 113438022.002855 121650176.151177 127816823.451956 134089641.630743 140666445.833374 148341319.844654 153621567.435992 156822879.736462 157654433.6386 159037377.615132 158612707.79846 157845704.385018 154870408.155565 152612662.755167 146633252.026918 140320914.254772 133033539.1853 128395961.074059 123780997.31457 120706228.1297 113482822.331826 109403521.704963 102480975.214645 97086779.7657512 93662210.0564466 90741297.5374342 86290694.2371016 82562656.0436592 78258952.9679147 73171964.5064006 69503513.0516765 65760253.028207 61878830.5441001 59146798.557774 55713939.1589276 53225791.2749106 50053689.170212 45378805.7166243 42155529.4705682 39017962.1058156 36260237.9531787 33701140.2464573 30895690.2621018 28262077.4128637 26254137.3043229 24184931.9884079 22188497.6015948 19766777.7508541 17662718.3613285 16467683.0766933 14443522.1072897 13144662.5873145 11455249.0586688 9909021.15218875 8115504.46913104 6891572.78349481 5555114.93463525 4461113.06286095 3599359.97981887 2718061.55535452 2050400.33487911 1438722.69645547 1020578.09762908 719111.39512972 466712.700607084 264712.153330641 140959.443484135 67181.4116617831 41443.1433696467 16409.9966114617 5852.92727546932 2431.71115925617 0 0 0 0 0 0 0
"OTHCOST" 1309760378.58941 1347393440.31884 1358366302.52761 1349852722.52336 1335721813.66735 1320195465.68556 1301189825.09304 1277414515.98995 1249379410.44418 1217250206.85269 1181832628.72631 1145494583.57282 1106808151.03989 1066157755.40317 1024552852.23697 982657817.65549 938913724.371982 894697377.842554 850491603.225389 807818182.965181 763445797.79164 720605653.989318 678292368.823381 636937452.718437 597012727.895355 557356201.690978 519532503.775125 482959501.986496 447613584.060337 413935728.937734 381371970.069241 350427112.023602 321210889.567529 293211619.630945 266623256.33244 241915307.574355 218496084.056054 196870798.1394 176541685.439856 158111106.830804 140953723.576233 124790638.30033 110253463.714829 96983773.550056 84833963.3136961 73798091.7336829 64129934.7694505 55039772.3962069 47172387.4587851 40466213.8483149 34267531.2092404 28945787.3835505 24264142.8388398 20177885.0418512 16633585.7675125 13607246.4696295 11028521.7975095 8921236.97280208 7110482.1064144 5606784.64641899 4327877.9668392 3301542.14727291 2513206.84325844 1854208.94643717 1345751.2524576 992811.749820698 700964.769046621 494734.212151412 350981.398582023 238979.474531667 164158.229639087 111915.168415154 66194.3047802793 39190.787400568 21521.04790634 10276.5608424817 5806.90269886044 2630.04960606463 523.83240583727 448.304482476774 0 0 0 0 0 0 0
