"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44455616.3039739 129713742.397783 193392169.597662 213507779.015022 237302144.422604 272623944.679825 312538124.528513 347656146.808586 374462924.97619 391331844.759627 401487388.346633 407472783.313107 409828706.753903 410019915.786959 408250559.764096 404365483.572354 398937573.824184 391465036.433125 382272041.963635 372106302.909874 361095070.240631 349092717.017774 336156992.71073 322772839.437727 308768445.89851 294474052.490362 279698381.317891 265022052.729154 250141648.028853 235508981.855497 220614385.938209 205954630.167955 191569796.199167 177362712.277898 163716484.547534 150449942.613566 137595976.224139 125388388.984074 113854482.095196 102885169.215924 92649161.1597661 82941462.1891171 73879682.3671381 65566223.500761 57915574.0173674 50919814.8136557 44586896.0464792 38792656.3789037 33612418.7908046 28912460.5669117 24708727.8353965 21080651.0052639 17849025.0726981 14967200.1194443 12458140.0236966 10291345.1026528 8413197.43780708 6801207.59810037 5460036.81384442 4287432.08167194 3298705.06649227 2519673.63367078 1900462.18638733 1406710.32337472 1010831.3411023 720091.560107917 509607.441968238 357529.31871049 240419.85203318 160861.941821972 105446.114328319 72389.2279431356 45700.1968593441 24431.1991257058 13436.220532149 5440.37837839382 2943.19496575698 470.190010838591 40.1168488137561 5.73283360995002 0 0 0 0 0 0 0
"CVDCOST" 561504623.020276 719364565.02506 848792125.705162 965095712.855471 1076970883.84996 1168593499.50076 1251111605.09394 1312605054.90506 1362019256.60753 1398862133.77353 1425111970.85305 1445165378.43156 1452699405.56134 1448929969.09307 1439750005.50875 1420138717.4664 1395665471.33093 1366838937.2931 1332489577.85149 1286929148.99809 1245875345.60121 1202220101.0705 1152518474.22447 1101725032.36232 1052022761.24364 1001806267.60428 952945895.997809 898810770.738561 848227607.964752 799273025.560355 749502257.44417 702594974.894158 656044881.46269 609335510.141984 565868213.152481 522282347.108014 481211257.363184 442781325.122947 408216591.82041 373611282.522378 340741842.557675 310176385.737653 279682360.694814 252199273.641589 227093066.234632 203062432.540641 180877579.979778 160784370.682406 142143160.827929 126128795.664996 109979784.668476 96719567.4894775 84757816.6501893 74106791.3997952 63229784.8436369 54253491.9497143 46565839.7655366 39240660.3255409 33027490.9302213 27562305.3482328 22685982.0317041 18372766.4389065 14792128.8841834 11941952.5602566 9101868.49630807 6936174.87427076 5472086.37496375 4116551.60676268 3028181.29758789 2307257.1247885 1692219.19362389 1112105.43544637 758627.020230784 506813.010696922 314635.011712772 160573.494363605 83009.0751492988 27083.5364806819 20116.8586957262 8308.7934076458 619.792598874149 153.825655328804 0 0 0 0 0
"NEPHCOST" 195929649.73223 192207255.055585 189683915.512437 189355650.425109 191170710.551787 193227893.835457 195791083.216447 197740556.507206 201191683.15048 204156258.379318 206667384.216363 209053610.254848 211912218.462256 212037704.964491 214572676.470144 215101828.391296 215374882.167489 213556283.47749 211697019.72213 209031667.704487 205359238.574286 199935481.132595 193953779.021566 188129153.873244 181249492.076405 174059766.651505 166721254.529593 158031550.096191 150680237.417656 142966683.960568 135137093.170239 127099984.019604 119506519.878398 111279074.837664 104020231.594706 96554804.1681002 89838872.4821657 82884744.91926 76510886.965453 70093356.5373581 64083564.7155726 58006003.6960344 52406807.8008065 47208841.3649872 42367838.0145901 37957679.6642412 33644261.6847816 29829522.3882584 26575089.3179438 23520324.6781618 20741734.741178 18034610.203737 15655767.1349512 13511936.8706989 11656200.8026172 10026948.1988605 8457447.97943963 7075769.84129826 5957095.92995188 4802838.55560814 3824706.02703883 3031696.65777521 2314918.49918824 1734350.47138901 1324082.9528103 1058922.04698987 792941.073143834 569439.139844131 373071.039423869 252980.191972285 154608.516804518 100020.558935314 71387.0205231949 42784.101960553 25095.4099003459 13130.6594604393 3374.43029659578 3260.31912714568 1700.4710373234 0 0 0 0 0 0 0 0
"RETCOST" 8441000.93366301 11792887.8185509 14447558.5179829 17052621.0789325 19477186.9639484 21905673.2621303 23718172.3239724 25382028.6610146 26359587.6890534 27502084.015767 28086422.6804649 28855563.7890512 29268365.9689366 29444256.4016538 29463657.7120147 29366189.0076192 29045195.0827485 28659514.7918265 28489607.7270974 27728857.3983582 27100913.6311941 26317298.8484068 25526441.5094199 24697291.7223075 23648075.758279 22739187.8527201 21729656.1820765 20858758.8603499 19800320.4874278 18782067.4743274 17750222.6807991 16686889.8412062 15645822.8121752 14587066.2648112 13586293.640482 12550431.8800974 11505128.1381906 10562629.1528896 9643462.74153903 8833687.890341 8005304.00606254 7159911.76430905 6428702.4557934 5745893.03765615 5068853.9302346 4525277.99504459 3992494.13416355 3470730.04457326 3061778.80516771 2631136.73312502 2254438.53359338 1936806.97452344 1645871.62966357 1389163.11445018 1160978.56796725 968932.917297996 803076.273214578 666860.539899336 535509.834531093 433445.120349827 331211.562971588 259425.215357118 203070.419333167 151630.307477148 110199.904087259 82323.9221714769 61389.909845007 44525.8234103647 30899.3864575116 19548.2092078347 14659.9046570246 9751.77683152223 6411.15415242072 3240.86425449336 2471.39862732701 855.699312277954 592.93916639408 358.818289645288 57.8034339321024 0 0 0 0 0 0 0 0
"NEUCOST" 12326006.4698946 29034283.4639102 42854547.6378819 61783395.2931937 78094263.2150844 91995271.300549 104928266.185578 117099828.241114 125424680.202724 133540644.459437 138160817.827759 139782879.029285 143048120.0023 144581443.437051 145252238.842435 143758641.416486 142152938.593381 139947050.664087 136815844.92423 133930650.766544 130279604.199516 126656730.464987 121995437.588247 117243980.810871 113329737.120747 108767877.137487 104612241.468825 99172649.2309985 94012138.4570871 89480887.5563966 84183675.817626 78633162.069707 73281504.7618365 68659389.136797 63839650.1615728 58842434.562381 54515242.396489 49837635.8747042 45546072.5801135 41378111.9012188 37514073.652185 33722296.2584849 30276015.4255102 26906729.9285953 23995255.9981038 21171492.5492728 18555369.6745165 16232349.2940774 14117105.7615212 12236822.5379492 10531306.9200849 9034443.25889046 7748663.34989348 6500616.43990102 5469045.38343943 4586520.02987944 3760762.8982677 3089515.43640672 2534277.37836372 2045418.54551387 1585686.32593292 1225102.12817012 952949.898427482 719729.623659192 531956.304313208 380416.707867375 276644.911996053 198550.558786347 134512.208889826 90239.5799023759 62489.1211400065 43628.5023649723 29384.3238136017 16929.5215107228 9039.37416190895 4354.48275949411 2199.62787484752 461.519389177102 0 0 0 0 0 0 0 0 0
"CANCOST" 108412556.995055 188581784.486793 173073042.375865 164444988.298689 150761486.730591 145462706.543245 134858544.124965 126736962.084291 116801135.25287 109097958.65783 99071271.5106163 91169309.6868739 85803227.7718031 77394001.2328537 70724449.6862669 66179899.1939043 59338787.2542513 54648655.031774 49681376.3260252 44678914.7897671 40619440.6969066 36422213.8936217 32799297.1230307 29899396.4131112 26766444.4727434 23912550.5315142 21395422.2455465 19287161.5852511 17346742.7821692 15077760.8437288 13494272.9846805 11893610.2814601 10611026.0329119 9092864.94025017 8006061.87696678 6939760.71829632 6008591.85604771 5293419.22760612 4622963.44351112 3925559.77674652 3283393.67648749 2906666.72703978 2418969.28242695 2088528.61654653 1775217.24640669 1483863.38498471 1270406.36990545 1036162.22909461 900097.942266969 720609.864605148 586821.445179127 495003.052675948 407187.949315294 331336.936394337 247726.108141984 213459.354838266 169429.526704722 120536.07179877 113549.525343046 83001.5063669707 64834.8062463148 48590.8451232487 37748.2820009636 24513.5129212179 22947.8878272272 14144.5868201495 11160.4673809987 7891.78450082203 5637.67807185727 3508.58429938267 3200.112920649 2033.6166809734 1444.43423976512 570.095174000201 97.7628441327725 157.765684341856 149.468940731466 209.662290816961 0 0 0 0 0 0 0 0 0
"OSTCOST" 62551639.4959546 120416674.386193 174256023.527961 223870479.886563 269476868.898981 311207219.396865 347325772.348571 378054824.599223 403834016.601917 424994171.44687 441639167.15006 454275334.8041 462901998.126665 467646130.248745 469524083.570776 468277459.979202 464028047.469347 457634219.771182 448952447.612356 438200215.037225 425678587.043048 412109472.694848 397264560.891285 381352480.804639 364871872.334794 347961432.349351 330744927.705022 313091304.721025 295432744.072033 277621974.024634 260006754.185456 242696601.505735 226016116.413734 209755353.715524 194015495.067525 178679348.135646 164018704.308894 150106491.201389 137017161.960874 124531338.04041 112797046.214096 101764723.378094 91496152.4004023 82004683.3923242 73066834.4777388 64953780.5657116 57503781.127358 50717245.1500974 44541805.9869869 38988201.4319071 33909001.0694876 29427723.8795491 25413156.5961334 21795255.8395312 18554041.7439671 15666748.8212315 13156035.2697388 10967186.5157456 9069676.7078035 7430413.93444612 6005106.82074242 4806197.7750067 3792614.26116951 2966238.26011774 2261927.72486454 1737343.63738916 1301948.23319824 976695.755984185 720989.648966374 523976.03535796 379022.421881948 262911.798228372 172306.868601006 108075.059385146 62200.9476209408 30877.5739238957 16113.4402703583 7737.77097183336 3601.27960901422 1511.28856603695 350.850430920464 338.985923594651 106.509370062388 0 0 0 0
"DEPCOST" 19946322.125593 37603564.3855255 52936694.7377843 66310398.4903794 77764724.5055419 87358120.7772088 95260263.5957585 101609751.793658 106393271.091113 109813180.761761 111932713.207512 112967418.321698 113105737.102227 112292517.24059 110729393.492225 108482705.217204 105658833.736543 102395560.179935 98767809.8641831 94808941.1586825 90652232.8271607 86287251.7824498 81835135.1444616 77359911.4635502 72872565.0327038 68468897.8670592 64091459.7493709 59810034.8911668 55599863.9131619 51575732.7582788 47626011.6391766 43846059.4091273 40252541.7737067 36843592.8560191 33585548.5642161 30501625.046001 27628652.0776603 24938687.168151 22439943.7927791 20112241.3500955 17955223.3826659 15958798.0015978 14127572.3504154 12458896.621695 10922736.9844978 9530797.05179241 8296324.78930559 7164811.95397615 6165716.14809082 5289233.76852084 4496967.74268661 3818378.41944412 3221955.34147338 2693894.19767751 2236521.83799948 1845257.73768101 1508521.39804761 1224239.90696091 983049.971649172 778562.32599107 604389.495559235 464571.08184153 354480.313579474 265842.844228459 193201.843195444 140944.519554966 102595.19428004 72795.7615178559 50926.0894973637 35184.7502162898 24169.6111708052 16618.8723429875 10745.2983958381 6385.67856682241 3604.37129456838 1715.64766692715 922.671072247254 395.08269679977 146.884715752655 77.2130416461814 0 0 0 0 0 0 0
"DEMCOST" 72712726.5777165 61785760.4535763 65372061.8329725 72064282.2229891 81622366.4876557 90576160.5156111 98708513.5306928 105763263.371505 112850765.864979 120818683.559984 127068232.482993 133119847.906394 139703501.26213 147007570.513479 152224824.376861 155602821.34452 156218050.224419 157510941.294223 157145385.18387 156505847.66509 153506984.284974 150952562.340995 145073879.385066 138874105.752503 131534901.810308 127181851.537421 122116476.407198 119246587.314566 112204894.52874 108013872.151763 101132916.184031 95539197.8787528 92011792.0575127 89141686.4038301 84696572.6667897 80915730.1262227 76538150.9994786 71649782.3336244 67885861.9104518 64163371.1145126 60372215.0934923 57570854.7290506 54230562.2720168 51730048.4905327 48474168.2040539 44123543.4162887 40850902.4186705 37761472.3373053 35052554.787024 32568582.1562384 29738262.4244816 27266977.1346828 25235968.307715 23338108.1212554 21356679.5899673 19110574.5076781 17050230.3047683 15974600.7226733 14083235.6161056 12958908.9028391 11339410.6155667 9921552.93024276 8174544.82648824 7056720.8176929 5717868.42545475 4599492.17303721 3745151.59260031 2832573.35573009 2148711.54900027 1535362.34937607 1100888.61236922 774487.086721656 502504.004662619 294144.495659169 156263.596903391 72147.9945236616 46955.5362621141 19899.3162532795 7290.04834281974 2916.9328814486 0 0 0 0 0 0 0
"OTHCOST" 1309689447.17621 1345476557.13414 1351603624.67335 1343775976.47208 1330607916.05085 1316071273.99497 1298278793.66706 1274250347.39282 1246089290.83175 1213843699.55461 1178380371.82551 1142004748.18231 1103318898.36092 1062651705.94099 1021136767.72535 979364252.727999 935616780.01826 891517981.677375 847436976.382394 804908355.11631 760610582.319135 717942329.49511 675754192.142783 634552576.152211 594743856.702674 555265610.14776 517614054.521855 481265139.716588 446084290.969105 412573455.359964 380141842.896262 349327923.847061 320265509.314259 292476391.637285 266015755.182791 241433528.634739 218071423.078288 196624955.265559 176351926.163134 158074219.971845 141001312.195649 124886328.592863 110452063.093278 97223883.9679199 85134712.1215945 74124542.9334264 64512418.8791816 55423469.9046545 47548634.4730758 40848659.9502725 34646749.9550154 29326768.2746527 24633637.7024224 20530501.3240867 16958582.853721 13916897.3688219 11326264.161583 9196873.2792336 7354844.92868166 5817878.40439325 4517888.27144575 3468888.57601838 2649311.96658738 1965088.1118528 1435097.00573287 1059750.95288287 749057.878092428 532476.628102245 380847.190859751 261182.478235301 179340.089899429 122333.186746339 74844.9750641437 45240.5150938828 25960.006803286 11545.1156197 6676.26257714164 2947.75444715272 836.536948485604 459.753777654437 0 0 0 0 0 0 0
