"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44612410.3552651 130526449.386178 194976958.242785 214983469.5243 239252560.689207 275086779.839005 314601693.590501 349787438.419853 376391278.338738 392924228.835437 402860802.384519 408936151.200491 411590730.390977 411770153.939933 409991925.018023 406128672.88778 400885931.305914 393147369.120464 383895654.459269 373854757.051299 362361347.272148 350089331.970088 337063198.447701 323553891.501218 309430265.55548 295263498.813735 280263904.524933 265411099.058473 250428684.262317 235536768.688411 220807903.573925 206138511.115076 191727195.993821 177506352.797805 163746567.920833 150448135.259339 137816937.397276 125499759.549087 113957072.386518 102840281.683348 92384226.0012633 82831744.8820156 73961743.5577753 65644562.3685042 57898395.2756521 50980390.5024488 44602319.4127921 38763281.7027706 33446203.1244574 28753901.128977 24526142.2252241 20879642.2342819 17626026.5013729 14714032.2491667 12209436.5009392 10030338.7095942 8146228.4291091 6548744.64858881 5220298.78368557 4075729.76056964 3165786.759185 2393017.6520655 1799608.355774 1330892.59441159 960957.632795685 691783.907330802 482470.334770623 329741.418671133 220067.297715499 142758.237248602 92017.3098519252 56282.5743933467 34243.8837320069 19932.9911533403 12402.8309796786 5567.01331869764 3623.80383949409 1395.37246789854 399.347604108446 222.995571088504 51.8686005261821 0 0 0 0 0 0
"CVDCOST" 561912615.35779 723066881.087469 856883663.506099 973626037.109401 1077415752.31197 1181326092.88712 1255843604.97077 1320441607.40785 1370628321.64186 1410360474.77907 1439342723.60631 1456429866.76431 1462104606.84672 1458886118.93969 1449054519.3327 1428144627.43095 1403803296.38298 1377156046.50332 1336892992.78521 1297267109.6481 1254629548.03126 1208229332.08513 1160224231.1148 1110421925.62034 1058577491.9729 1006945967.76805 956563180.597212 904185803.607371 854510182.133086 803390681.236661 753369721.844687 704733625.054119 658120196.594722 612275603.521545 565603096.530146 524623573.178203 485095540.182319 444591941.883719 408803911.649406 375153738.45667 340471278.634131 308727288.909623 280420543.546449 252365376.192829 226852353.07268 203268876.695814 181705881.356123 161231473.945571 142796237.197164 126046405.155627 110358781.105891 96832486.044469 83981344.6167373 73014285.9862134 62545955.2974527 53108460.5578545 45362676.0487527 38187261.5462324 31885286.2846683 26676430.667666 21666694.7042752 17622739.46443 14045729.1954801 11088136.4899829 8704831.55035341 6761346.58095182 5142654.1640261 3963028.627588 2958414.46645353 2131716.89410653 1479974.07592879 982698.859235725 702073.05343196 423432.467191443 255699.765628294 110531.752515582 63231.1269115025 23181.7174357963 7321.34235194134 8985.3424679671 650.470007218228 167.786225235274 0 0 0 0 0
"NEPHCOST" 193303336.77908 190083121.623024 188297869.096819 188128813.586667 189024562.644112 191400146.454428 194612634.197221 197017084.33308 199693300.721195 203487670.61373 205948518.865437 208734468.050276 211306630.101733 213760174.782033 215816956.784846 216780553.482403 216421912.412299 215789919.453069 214409638.147447 212236718.755005 208424603.356541 205199987.604879 200586073.031672 194741824.558498 189510675.185867 181864861.092435 175687261.46444 169327698.487456 161743784.769222 153117187.442826 144730450.708129 136200789.790784 127788764.723051 119452913.929046 111265259.000397 104100547.702195 96980945.5009398 89528789.4814151 82300155.8285071 75775748.7536084 69291282.3762424 63045429.9442687 57210208.7392813 51352084.3659574 45955247.2852634 40796429.7090304 36414394.4094568 31977018.2340941 28200897.9475926 24769409.9039782 21500215.1235458 18743458.1822721 16370346.8236425 14220580.4727446 12094711.3709993 10105417.3140972 8514570.47245766 7138767.9123992 5891125.41715816 4857082.80095338 4020681.60379073 3255633.79563634 2577463.10717842 1944696.66056528 1376557.32465205 1107953.85362387 801608.974984429 544510.287012816 372905.210254265 247682.892898899 161311.025779766 110210.825714553 55425.606328277 31990.7207965681 17085.8184012337 5576.51312346394 5387.93538498931 3421.2762992009 0 0 0 0 0 0 0 0 0
"RETCOST" 8266029.8831927 11896838.8777655 14352893.4415439 17344646.6239053 19852072.4839721 22238219.608571 23669064.5181696 25509736.5033853 26693301.7385091 27653333.5984809 28673766.0337999 29206520.9333913 29473754.9990298 29754721.8622364 29857907.6106166 29376971.188894 29181571.496604 28907991.6502199 28489870.1953518 28058861.000039 27451503.6021564 26572024.5718713 25776911.426587 24911827.4667847 24035888.8218714 23149276.3877709 22083173.7195126 21202390.0847121 20127608.315885 19082242.0189965 18069562.9896798 16813224.9800804 15840807.74103 14763791.6322467 13770782.9553502 12700129.8750811 11823529.6882259 10815465.7293092 9849963.58160205 8939630.56197498 8078303.11855158 7332304.97425797 6506869.38188545 5864647.42176512 5203781.32248371 4603036.43480395 4024163.62726017 3526143.56642609 3088266.66203787 2668054.2129603 2272135.85758733 1938350.54756383 1667141.01590182 1391191.21506212 1163351.60784081 967890.943488586 785438.95143174 628801.318590503 510145.628296077 400743.407870671 320726.449321129 247392.366414845 194641.595194139 142026.067099236 103831.46599693 77413.4377713481 57212.6892040225 39822.3207979924 26042.2291422309 18418.9657566565 11664.3047566 7404.86197261597 4531.86167431609 2432.77300728754 1661.85988707064 551.187578667367 434.926068593622 223.11015322207 103.720901405001 100.21343130918 64.5528082833247 0 0 0 0 0 0
"NEUCOST" 12734833.5659968 28914256.4932565 44248639.5633053 62114098.3218351 75715654.0049265 91892972.6560127 104219461.216611 116566711.951395 126443366.467326 132565176.721115 137726981.926875 141796692.679336 144039541.319874 144870594.05712 145564294.80343 144599048.052306 143814872.211675 140610655.181148 136663192.652897 134614477.321118 131319123.157433 127386219.742034 123152524.978027 117865900.597583 113899099.99167 109261501.166375 104632941.263646 99198090.6330385 94335521.2865157 89247979.7908026 83911498.3317732 78699201.9977269 73842901.0622824 69001159.4409712 63858512.0595725 59297399.5907177 54552389.4384025 50130656.0665882 45667533.3848277 41501103.3029596 37438263.0992212 33682140.040019 30252718.7350104 26972916.2308161 23931911.0423583 21198088.4168819 18558415.0356491 16205331.1470886 14078290.5927186 12216151.4796643 10508817.9902306 9023739.96272144 7668225.21166003 6473182.73896962 5417204.41246795 4491573.14045248 3701448.56309281 2997719.29550511 2412783.90838657 1938476.90095747 1519699.49537016 1162088.64098196 888853.277533246 660364.335524016 483551.189480379 348588.213172562 244996.174182405 161825.645690975 114939.728385671 74078.313848508 51388.5073970355 31611.3031381194 18733.9216488124 11160.0004416366 6240.68040608845 2584.29982175895 1627.9825740637 553.135447324738 0 0 0 0 0 0 0 0 0
"CANCOST" 108427467.638985 188395377.517305 170128597.497553 161862351.372286 151732288.027366 144613185.747461 136772659.732726 125477834.313021 118996609.720958 108833213.7556 102650746.16564 93125406.6390937 84862518.1216467 78709703.2140265 71575137.311832 66881679.5045306 60548111.0403615 54501961.5312425 49768157.0330135 44510915.2781547 40947025.9019726 36544451.4918553 33125460.9443489 30024443.3110367 26390796.8145552 23986305.5548306 21350533.3589357 19429100.6177392 17307282.7382341 15354521.0227273 13362994.0154806 11874890.370341 10541130.3742379 9240344.96807021 8117779.79083992 6912768.67985614 6085536.39484803 5195356.83735948 4585947.26209929 3931606.35889912 3350103.49689828 2924984.75309341 2457180.74873755 2074535.45942446 1792836.20843605 1477847.69370295 1237595.71652338 1042772.49478892 897360.867706664 711752.274172877 605622.950676332 498699.552755086 417034.193593767 325403.354440103 271238.43813347 222890.742919274 174625.627910683 136572.732802594 106030.035581506 77176.953179434 61361.8283539238 44092.7836708624 31109.9134246895 24934.0389071536 17060.6601852683 12540.2753761563 7454.23875650789 8622.30989436673 4364.64991826656 4366.19853726041 2371.93899415056 1500.55634396737 1134.98577698866 600.527464112185 641.764070583364 159.974975577578 76.5887635966911 69.0105228861049 0 0 0 0 0 0 0 0 0
"OSTCOST" 62873381.3748615 122616263.884372 177840427.868017 228031624.338962 274368460.704506 315657219.553734 351595145.568847 382298146.220045 407875592.943394 428539588.262209 444578380.308019 457073548.000803 465468659.01659 470421924.376524 471833174.375913 470160604.329464 465665840.986779 458866265.495621 449994467.569288 439275763.736286 426837158.663578 413117263.168615 398153868.713974 382158541.906067 365540148.53279 348572827.838777 331037369.992089 313344905.428335 295490271.989962 277743695.242544 260163952.542756 242904027.618326 226109399.824802 209822828.251911 193991436.816896 178711320.808997 164036144.870999 150101621.38548 136981208.410896 124451162.65619 112653287.956872 101621294.519398 91464298.7312896 81906961.4211774 73042873.6714859 64947129.384191 57484788.0869772 50649602.2800192 44403736.2750198 38802272.0079056 33723116.312988 29221882.0210078 25127103.4794956 21484767.1344075 18294478.285775 15426824.3345692 12949765.6209109 10781282.2324215 8865560.95642652 7225172.3818169 5844541.52007685 4653856.91727249 3664744.5865234 2860571.20123948 2191959.49638081 1674348.31378474 1245031.77011697 924142.728927882 680277.862399391 486521.320868098 345726.949702051 235078.639292339 154513.004154208 97249.5004109536 55261.2124933254 28116.6513921546 14773.7036085179 6313.7157440189 2714.74973434442 1616.05906646205 332.676016639894 112.979884298344 0 0 0 0 0
"DEPCOST" 19928742.0003044 37571282.8049173 52967839.7636306 66332672.6413353 77760002.030502 87483361.7185522 95399555.8948917 101698914.114605 106457522.30877 109827846.931134 111979594.994427 112990963.843514 113046755.570663 112167696.163336 110555155.030369 108257219.736167 105447816.569748 102194998.642135 98540011.1513347 94595216.0021413 90426480.2223902 86100018.0000758 81634746.8382614 77180686.1621621 72713793.2588966 68296739.1688499 63896126.6840708 59589862.9285769 55385490.0287705 51320126.0303244 47391798.3144897 43626631.0859572 40050184.2539265 36627212.5387231 33380845.7528184 30315197.871403 27451925.9551482 24772135.3659705 22284342.8809033 19942637.3889164 17769160.0479858 15784194.7663827 13989778.5430223 12335019.3220592 10808612.3849951 9446326.5346406 8203026.06163601 7076864.53285977 6074018.2594298 5201511.06593809 4416106.90996997 3738672.21316447 3139757.14895114 2618042.15981025 2167568.35408797 1777837.81990988 1445252.69722037 1167404.69035212 930449.194681047 734257.700084832 570473.076051155 435651.828839727 330192.609829942 246082.434688948 178858.503913183 130273.168513802 93070.5800837802 65026.8726769636 45849.6963989265 31183.8924048276 20869.3425854078 13509.5272271483 8358.63281883059 4851.05455734937 2708.88329375844 1296.25810006635 821.288162188835 275.574095479292 73.2752096461149 53.1670150897363 18.059861648169 0 0 0 0 0 0
"DEMCOST" 71950934.7828995 62829757.8455292 67001990.4683721 72538673.3721525 79312559.9967775 89555029.7065537 99338248.6677815 107252712.788237 112479022.292244 122067167.940572 127669487.291766 136518190.152191 143545037.420499 149343177.654195 151019389.14796 155879192.042859 158219121.324137 157085320.913148 156938704.27399 156405685.576896 154222989.774187 151906412.821811 146115055.156 139483899.436651 134504407.694385 128015815.216598 125333516.998134 121340377.404405 114650066.38367 108920879.660005 103573189.716909 97868544.9851102 94702828.7089722 90577970.8425844 86064423.4515497 81795466.7761801 77515817.5428055 72675769.0525858 69914948.7634839 65703710.7707817 62266409.4992594 58933611.250995 55921607.7044188 52967981.3088713 49258541.5441082 46198792.8339663 42364823.3894703 39568111.3178146 36146522.684539 33790131.4195222 31011992.1904519 28564194.0621328 26299236.7345841 23777816.9388831 22065024.7161486 19831644.1641955 17911043.195433 16383553.9597122 14338651.1880565 12996755.7893596 11368174.8444412 9908899.44309042 8197507.97040302 6693818.86029757 5396925.23971121 4455650.6739967 3515001.99810383 2725812.05790625 2129460.07899327 1525838.13919782 1032639.17967443 637866.921151391 416986.408248704 259132.568876697 141952.164827336 70525.3105481744 36035.8171747797 18274.1988697548 5498.77917111919 1919.89867556995 0 0 0 0 0 0 0
"OTHCOST" 1312602596.2899 1347587403.37447 1356169076.40164 1348025805.02904 1335875627.46689 1319751926.94041 1301755444.22826 1278245983.48621 1248699299.68901 1217767205.46141 1181236025.44364 1145537802.62214 1105949603.10374 1066121480.78875 1024684592.84371 980985640.093465 938206442.837992 893945733.846348 850358217.707287 807159604.940953 762897124.997002 720388525.094959 677107985.13375 635982119.925868 595947504.31178 557209439.532137 519291995.509198 482036285.813303 447703067.625633 413500218.678042 381583435.685522 350507976.904664 320829354.302714 292620496.873732 266838339.562052 242029495.626363 218327870.369698 197028641.401394 176637938.8934 158115627.76928 140666860.531001 124794460.184087 110214101.042178 97136186.9668356 84939345.1040156 74362453.2775881 64315562.3381623 55387046.220654 47444003.6107409 40626491.9620738 34384811.170691 29078695.7326826 24253230.3654738 20200575.724161 16725818.4404273 13619313.1478333 11036702.9693409 8937091.57925214 7080694.94076241 5603206.66304169 4383461.54311806 3343976.70860615 2521048.03036505 1864428.44206074 1369893.75665573 1012451.74388562 711249.983000266 498966.233714262 352340.543602643 238729.133617801 161255.562519743 103029.320592837 59583.4110585091 36018.0223023092 20981.7381611261 9129.67281197051 5862.25448478211 2284.34824351314 764.949289515038 541.330344955594 110.087724389329 0 0 0 0 0 0
