"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44315239.835915 128933845.147873 192489561.140088 212581612.57146 236447513.306065 271762985.456361 311881682.802917 347140159.782169 374114423.404961 391115450.637207 401442889.534356 407551404.332363 409965451.658798 410257768.601584 408580785.784093 404774273.781839 399405202.916772 392022457.227135 382878853.341447 372783253.482799 361747760.303253 349723728.123843 336804787.48798 323464425.677926 309444337.977566 295144982.333812 280379571.366889 265654420.445593 250742528.156966 236037655.431646 221100502.980708 206371875.551404 191940677.59346 177675614.942607 163978354.238409 150667958.019976 137766336.280094 125507562.488595 113921339.65335 102901782.85027 92623844.2800352 82898079.4256415 73805415.6718792 65484960.3867133 57807550.595897 50801823.503354 44455971.4393018 38641834.7904441 33449972.0497755 28740374.469342 24546902.4458264 20908691.8481391 17681334.4650564 14798940.1213452 12296117.4774438 10131302.4598096 8267150.91075328 6671212.87198816 5333295.21429733 4172420.17218352 3199609.23726134 2434600.19709144 1831697.66662805 1351401.23274522 967852.910672595 688465.369895355 483596.54929986 340158.996797453 228223.296142354 152800.631057452 99645.7297776054 68048.7901626069 42412.5852439 22648.3120598975 12065.4940018271 5205.67973962931 2709.92680522382 470.190010838591 25.3818874237666 5.73283360995002 0 0 0 0 0 0 0
"CVDCOST" 546083979.310109 710191532.777122 839680635.263176 956250539.856717 1068327752.89186 1161125032.65792 1244146401.18118 1307085963.00839 1357243204.02462 1394447790.32936 1421500464.17654 1442581367.19378 1450418812.75208 1447148984.37123 1438832797.2078 1420031582.38368 1396539732.41485 1368054155.93413 1334441311.42047 1288927638.57361 1248111557.54738 1204673050.80914 1155075439.74162 1104403829.82149 1054963051.58216 1004669659.60198 955813490.793639 901724135.624598 851011107.059078 801999894.697609 752186331.96777 704965554.280341 658413622.51899 611553874.469009 567779581.076492 524086580.358403 483021530.981211 444220202.214223 409583327.087725 374812081.990838 341660983.957256 310908739.051387 280386289.602232 252668518.962729 227469531.702664 203268533.22571 180976456.63192 160880557.856897 142123782.310271 126098255.373367 109888821.78026 96436819.2490444 84413567.5440714 73728050.3625513 62770450.0971412 53868120.6761752 46057157.6128584 38697712.6065804 32512984.7970028 27058337.4997617 22251546.0381822 17990144.123269 14413338.0726911 11594199.4245756 8826155.10552691 6710602.04125603 5274674.33464122 3953057.36547122 2912734.05751008 2219895.69747455 1643250.73138591 1065622.60786548 710072.478852188 468185.416335596 305375.031747596 155335.185027085 78563.5054383168 25048.1462811386 19418.6285646267 8098.8167515614 416.916602657337 153.825655328804 0 0 0 0 0
"NEPHCOST" 195708930.22996 191662399.512309 188981256.6902 188539773.736876 189907864.951925 191501091.88906 193897398.38842 195594014.426711 198810818.740976 201642743.078769 204043811.525536 206416890.619807 209339614.255511 209795421.110406 212458910.652331 213050773.100443 213386344.514532 211716538.126749 210021483.913645 207319938.366007 203928876.487028 198827054.433006 192986056.46649 187357433.565787 180533197.810377 173683104.784514 166797707.140114 158440470.230071 151292816.80819 143664008.79179 136064700.143701 128193522.078897 120703314.127693 112473166.449246 105452364.291509 98138796.1910379 91276595.4263785 84342970.2120747 78119463.8683423 71721188.1707367 65667741.253325 59462972.4024496 53790756.1197529 48523516.456191 43631705.0492162 39271915.0248762 34745884.0775413 30847788.8197778 27595067.124724 24360991.5449122 21511191.3344174 18679974.0241693 16199476.6272497 13951088.9085276 11991363.7508506 10328400.7149682 8718825.06110083 7247092.095696 6113134.68944608 4954972.81740847 3978141.54075874 3143990.11271365 2375821.71336754 1765862.29807986 1346064.08303153 1094608.25712096 792813.761882805 559532.164927679 360380.421092553 245356.544579656 149780.027341996 97531.003831942 68838.0917413955 38614.2145030235 23208.7657178948 13130.6594604393 3374.43029659578 3260.31912714568 1700.4710373234 0 0 0 0 0 0 0 0
"RETCOST" 8213005.4829564 11648601.1073998 14273150.7788557 16834508.7912196 19312834.5104034 21716443.0831112 23535383.5930669 25256885.125456 26188299.7221102 27354815.7982431 27906058.9951525 28685920.0345622 29098409.8791833 29329425.9381397 29339833.8021592 29245707.5808202 28965609.115892 28584303.7636491 28453464.0868244 27697385.1475194 27118638.2690992 26312829.0210783 25545830.6995334 24682436.6822882 23696000.1498534 22763476.4492727 21770364.1298837 20905610.1113316 19849229.3930218 18860215.0773891 17801554.211838 16749312.8767719 15695106.2688889 14636250.5229873 13630757.4054442 12584430.3159353 11567154.9482222 10600731.2757556 9675003.35299879 8874918.79615769 8021480.1084994 7183083.39256864 6443195.62664707 5774707.73762576 5087553.14843447 4531011.52881038 4002893.94430622 3474614.24764766 3061991.20819095 2629312.12062911 2254833.89860917 1938398.94005203 1640240.4369609 1387049.73923303 1154498.52098018 957430.726497075 793112.018265008 655050.932316107 526207.851483292 425792.686461747 325196.941596536 254553.612493291 198202.264604108 147164.197541466 106573.911403621 78317.0004481424 59236.5753217111 42739.5223758821 29932.2441940978 18874.3169205136 14069.2725578384 9408.67765599318 6061.05436760916 3033.4819876664 2096.06479578778 818.889770423443 591.070426555257 358.818289645288 57.8034339321024 0 0 0 0 0 0 0 0
"NEUCOST" 11685809.8986224 28391266.2542901 42030174.9445385 61049073.3674421 77195723.7607884 91085269.6427949 104342340.488618 116397815.279813 124958051.989096 132951036.82087 137670241.299327 139332090.337515 142780486.664022 144482745.777312 145040126.030718 143478198.023356 142278209.813238 140082845.230217 136982053.786044 134135498.343128 130465338.498993 126827596.123042 122300631.171656 117535218.935845 113555909.140807 109127622.506585 104881979.152887 99503606.6099684 94223919.8437276 89728809.5177701 84411494.6335419 78837003.9810248 73494548.8904434 68900719.7863631 64054010.5540646 58999149.420811 54677663.5536658 49987747.6271122 45688145.8118648 41456232.6980422 37569372.4441153 33791528.7855462 30325205.4944936 26991708.1867923 24029434.7850168 21194102.3594523 18586644.3978745 16255819.8030516 14134718.6986469 12235302.0178891 10512036.1285265 9019157.56940442 7720489.52888968 6463857.53709805 5435697.26498284 4551847.28812761 3729636.5839974 3061436.98857371 2510067.16842872 2025319.12304924 1561890.82458379 1203030.20547379 933371.811974571 702107.12121456 518310.125315359 369267.824994153 266434.501399664 189869.133440833 127453.515634411 85204.5306242427 59483.9650272351 41057.3573868069 27589.7356420455 16141.8134423848 8271.84531682647 4290.2703407243 2110.13502070592 461.519389177102 0 0 0 0 0 0 0 0 0
"CANCOST" 109046894.474065 188040009.227263 172920021.553272 164213930.298449 150725954.007115 145499536.249034 134881968.744434 126794006.382717 116825153.942354 109190667.984304 99136834.7205252 91159366.4264122 85805070.854782 77433495.6325219 70724289.5033412 66204687.185848 59436295.9654589 54680997.5436443 49726001.3073937 44703020.8769488 40689025.3252442 36398567.7761036 32828325.5865168 29907256.1618732 26778190.385971 23911363.6015004 21388739.876272 19289448.9317124 17337835.3812225 15080464.5220161 13507438.7250783 11883464.0755769 10612793.5093202 9089856.51213725 7994708.52061617 6932993.18770208 6012937.78656812 5292862.11205699 4613107.99763329 3912712.47501472 3278147.38798197 2910490.56746184 2408200.72448325 2081783.57972924 1770942.5865997 1481981.5208736 1261876.3204771 1029507.81386578 896866.49216162 715655.420108242 585030.277833611 492460.844223185 404230.138999169 329389.339502357 247704.096408131 211535.622629893 167360.502741638 119449.541201203 112251.310221388 81724.4048127485 63236.9326152651 46658.3386916489 37261.3241854217 23993.4148490879 22304.3863713145 13979.9766814612 11151.5691704702 7327.28073240929 5326.77467998522 3285.37517048119 3200.112920649 2033.6166809734 1340.6621695667 480.53028065338 97.7628441327725 157.765684341856 69.9628747577571 209.662290816961 0 0 0 0 0 0 0 0 0
"OSTCOST" 59446943.5106098 117194268.860326 171034688.893641 220901820.590702 266810974.445191 308905935.236503 345353136.115505 376393422.086091 402455553.496066 423851638.623657 440712725.165877 453533402.836447 462327988.223337 467209377.187039 469220438.812729 468067636.420457 463917305.521259 457629377.452473 448999738.157446 438301626.072456 425828290.044482 412286901.905045 397482270.369373 381586891.696743 365105720.989688 348167929.391838 330951741.347927 313291919.571695 295622421.158896 277778384.349095 260171278.488627 242830409.975988 226130566.209567 209847822.749718 194082401.247192 178717625.65891 164041870.702611 150111375.277404 136998048.627834 124486806.461247 112729913.262548 101675168.457572 91388996.6968705 81883386.593286 72937891.9583813 64818326.1826378 57352459.6684351 50559815.8161446 44376517.3249391 38820810.8045147 33743794.6079659 29257913.8185184 25241653.512476 21623621.9623723 18390008.9126657 15502400.5704095 12997426.1143144 10817443.2441117 8926704.12871134 7294266.59318316 5881474.97243739 4696834.8770168 3695455.76273057 2881132.18107533 2194634.0050657 1684823.80891004 1257015.89975698 941341.308074937 692923.215132602 503035.468253112 362175.781823602 249637.438865638 162965.53241185 100748.014528402 58284.0416798097 29057.8337785346 14731.481637397 6988.15412266591 2939.08070674021 1323.78379621598 225.74065589182 218.10691390514 106.509370062388 0 0 0 0
"DEPCOST" 19927243.0180226 37575132.862649 52905295.692053 66276227.2662276 77730992.419837 87329677.4517869 95241585.0359795 101597762.260232 106390323.29741 109822002.305106 111948897.018284 112991948.017657 113140394.236446 112335732.012166 110780430.10638 108537175.040706 105716538.742413 102458656.59474 98829316.3852614 94870587.5830696 90713671.2086952 86345803.8824261 81889450.6847186 77407436.3401903 72913079.0412576 68501290.2628474 64116857.6410462 59825613.0289686 55606961.5296974 51576115.0134266 47622308.7778174 43834796.1361691 40235943.2789671 36820675.9439458 33556335.7065607 30469293.1534087 27593046.2880492 24899774.2878759 22399273.7668869 20067440.1622273 17908338.6244633 15911087.6066027 14079025.234792 12411763.5924337 10875084.2227515 9483417.59005384 8249947.87323875 7118322.30066795 6120140.20887431 5245030.55789548 4455181.90747239 3777898.00623456 3184120.8378363 2657418.69078876 2202142.5433235 1812743.9493674 1478090.27444773 1197129.63114325 958792.049119128 756699.886358818 585289.392728394 447987.612308643 340839.975117088 254462.089319937 184393.855465908 134100.220009509 97257.4760537733 69118.7118339151 48212.0638506175 33406.2041084847 22843.6917535128 15706.5051449888 10048.7462989782 5994.99049852998 3384.48271888442 1638.09726188287 867.465009486676 368.628187050791 99.9757649569541 60.6710907370597 0 0 0 0 0 0 0
"DEMCOST" 72712726.5777165 61764101.6782941 65132744.8979264 71324139.2693302 80545084.4668104 89201758.2925384 97300723.2592409 104341554.566614 111502913.347393 119716907.15141 125802397.731279 132065618.098321 138422841.972683 145707233.963622 151077899.619861 154282610.90229 154905123.897556 156618370.105401 156218437.245124 155638570.253124 152623701.865702 150319760.594213 144534298.130015 138490326.428434 131211134.421923 126864804.78947 122104308.922299 119157237.77527 112200376.391604 107869238.768423 101124849.818402 95624401.5692017 92156610.617048 89309823.6686261 84954672.6373271 81246377.8314262 76966759.0166738 72030852.532948 68418405.9755027 64609973.9437317 60778735.8345389 58082213.5204101 54731963.3817111 52365664.2723761 49083100.8399764 44636969.1749829 41494891.611577 38374890.9226403 35673453.965153 33178088.5428019 30335873.6880182 27812799.8406646 25877363.2676011 23831460.3796804 21751694.0749413 19468096.3008018 17392555.2403335 16276302.6782349 14288901.3929838 13078841.5844269 11409459.0805078 9888200.00996399 8151585.81932823 6940630.16856254 5637916.46591199 4529409.42884616 3649402.43798036 2774695.67276726 2083065.63926356 1482175.44270557 1050290.64774631 744289.57824446 486625.758802562 276872.85957695 147307.975610144 73837.7531859721 42871.3928796589 19850.7471393916 6495.32843369806 2431.71115925617 0 0 0 0 0 0 0
"OTHCOST" 1309087454.19816 1338318010.25002 1350319564.9466 1342734894.84832 1329811995.1802 1315479564.51102 1297903460.51149 1274065704.4411 1245997565.2613 1213866647.07968 1178552932.32874 1142330257.56207 1103796726.87054 1063215310.93899 1021896235.74835 980092461.927342 936494021.538721 892480892.167953 848472607.486856 805970780.4999 761826684.357949 719108064.065432 676918286.774352 635734595.747318 595908128.344248 556374428.383469 518668535.700249 482235180.996226 446992717.249961 413417498.68974 380951218.942594 350065387.043771 320926431.305596 293071108.839106 266515052.784919 241879094.027041 218467401.523888 196916186.456754 176647674.587059 158269822.271798 141128850.130868 124976341.054491 110504416.452313 97249182.091787 85082869.2363902 74058118.1269158 64412929.9179801 55310962.2220055 47432549.1362821 40712353.9520622 34501321.7169206 29177605.9050332 24484001.7402599 20369836.6215281 16805551.4831157 13765291.2392728 11172725.8221583 9061816.39964439 7227615.87166828 5704935.87901647 4414488.73631598 3372671.80435586 2574285.7394396 1901162.4024381 1386778.90391715 1021363.82188361 721079.878476413 510542.248444079 363060.42359538 248879.821081928 171384.44398439 117167.779424757 69940.3390500689 41965.0347553161 24438.6931574369 10995.9159858702 6143.10975321223 2781.71992599253 523.83240583727 431.901891152403 0 0 0 0 0 0 0
