"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44314625.6246376 128918579.488304 192213529.957449 212343389.539433 235996002.137748 271285621.904606 311345699.147437 346449598.058444 373291383.527988 390192751.720848 400429210.926446 406462726.450922 408808919.710911 409030097.924121 407310151.743861 403383583.929897 398001923.249755 390601123.308231 381448519.531522 371358451.69481 360348678.682495 348400083.169878 335565082.17629 322228346.737736 308281877.885749 294070550.40114 279352865.213819 264727578.914087 249924549.301364 235373241.807774 220558096.627593 205878555.503906 191521386.265994 177364339.092436 163764635.767371 150536081.190696 137690319.716223 125478791.714371 113957336.949652 103006907.331298 92781144.1889116 83083745.7901458 74024333.1823172 65712097.7688347 58078885.8997514 51073042.8150559 44736467.8906921 38948082.9591185 33765104.4303038 29050136.1205698 24836526.1925775 21190973.1852139 17948881.0882439 15061846.9783113 12543972.7166995 10366150.1706245 8483764.30965552 6868457.47794369 5518782.45016976 4341837.98947618 3341983.82712854 2557849.83390436 1931298.60243337 1428950.22533334 1027090.79840062 734505.187360153 520354.586641304 364525.371279171 245694.128406292 163537.867142296 107491.479524598 73794.4242475315 46148.3873415117 25113.4818646012 13142.2243482001 5361.8689202311 2874.22792742445 470.190010838591 40.1168488137561 5.73283360995002 0 0 0 0 0 0 0
"CVDCOST" 548380093.508557 707452096.139545 836398903.057462 952506296.044428 1064490042.48444 1156700201.89679 1239419924.8842 1301536758.78184 1351361003.84889 1388590226.44991 1415030909.94497 1435674011.09865 1443712231.5882 1440488943.94278 1431724553.36328 1412548093.1068 1388915607.14482 1360614134.97634 1326963396.17877 1281500367.13036 1241102608.02233 1197687283.06961 1148345528.30627 1097894289.05108 1049034896.56146 998946215.580086 950532978.164716 896565274.381269 846101356.319853 797371297.815374 747870958.758902 701182167.493698 654999940.868666 608258769.086725 565118778.639442 521723594.286139 480953218.929516 442411727.079439 407933668.214776 373414412.811658 340520165.718405 309994451.413603 279621626.590157 252165848.263287 227077688.801607 203218113.996204 181066728.78259 161067002.851323 142475680.048002 126368826.684371 110277016.142228 97003681.482907 85113354.7500447 74428435.3374222 63512682.2182331 54543838.7993158 46809680.0105427 39526411.0613732 33296833.4301804 27784049.5247794 22914207.8592605 18565209.5930641 14952989.8975166 12079442.6481957 9215420.89301583 7025201.35860912 5557871.72397211 4177554.77359697 3087428.39223797 2366381.63984373 1733166.42032415 1132092.88188544 766242.063431347 522206.208494118 318723.067388996 167631.263260362 85120.6517204982 28544.8234494059 20444.3092505873 8625.17075533771 759.856881172789 153.825655328804 0 0 0 0 0
"NEPHCOST" 195711510.87865 191706071.190841 188946581.305291 188338303.222576 189699118.534442 191228802.038767 193335887.758596 194825797.743949 197974308.605337 200633552.381587 202626120.878552 204738771.571443 207334311.428251 207459882.445052 209942617.406471 210214949.59416 210429163.016856 208421495.020333 206271329.931114 203376062.726525 199651516.596374 194647472.483129 188717813.527545 182882984.470807 175969225.486639 169241967.267294 161950007.691051 153611740.951803 146350625.06417 138929092.796137 131290577.556947 123713942.755186 116335481.608026 108378626.898347 101499559.475457 94224384.0973629 87574821.7393771 80800221.3816334 74627600.0480103 68529252.0407755 62701385.1806092 56766105.7059212 51374489.7939664 46301855.5945113 41466116.9054216 37182177.3240413 32996503.1148803 29369855.4636991 26201695.9319171 23206919.3536303 20470482.2587603 17807109.4504087 15475744.8445988 13351152.8870515 11546501.0134494 9930557.67290147 8397752.87290728 7021679.95377351 5910871.6043567 4749908.75638938 3766993.73851519 2993302.62523898 2301615.01969756 1735863.96399695 1336754.28740269 1068853.01250571 802175.409430492 578274.523485575 378954.458171019 260442.30182118 161695.482267633 109063.926508923 75548.6766451138 44754.9821573138 25095.4099003459 13130.6594604393 3374.43029659578 3260.31912714568 1700.4710373234 0 0 0 0 0 0 0 0
"RETCOST" 8255975.8269956 11630100.1605212 14282896.0934679 16835590.009498 19254485.0866115 21653262.9710124 23495189.0126198 25161805.9756586 26121006.168319 27287819.5355039 27820041.7933655 28605222.1261259 29005806.6293264 29218385.880605 29226784.4004587 29135812.4372182 28817022.7712732 28455109.7050283 28273702.4910963 27548426.8960328 26912086.3061878 26084800.6062475 25349462.7436608 24507908.7094567 23498757.3038503 22597949.4111863 21600938.2276958 20741174.8371892 19691175.9934426 18703106.4020443 17644520.3141098 16605402.8675398 15571350.6978625 14520958.3705886 13531811.3287309 12505562.8086751 11477249.9173177 10533794.5603629 9612998.08622084 8810612.13167407 7975137.50399621 7142025.92112625 6423528.68879362 5741776.65908072 5066353.65295442 4519998.19084667 3996806.0966281 3469680.22896401 3061914.63688134 2633567.06181728 2257361.4141563 1937532.03683699 1650960.45807266 1399141.57247922 1166880.16153393 974955.871816062 806722.669689448 670611.99236378 538484.896043923 434936.754019043 332903.004233686 261600.931869907 204655.126473243 153038.320890777 111069.591864009 83315.9753570564 61950.5237928419 45278.0323549422 31544.6170801944 19994.2648011299 14887.8656653441 10020.163234371 6538.24535734939 3209.27643880526 2360.5305976888 857.88069256389 595.046780196917 358.818289645288 57.8034339321024 0 0 0 0 0 0 0 0
"NEUCOST" 11739922.3398949 28227367.2366013 41946894.8907208 60638456.2980797 76800403.6144007 90872467.9972456 104023631.454233 115957789.178627 124380609.281974 132351008.244343 137185197.97189 138755966.6738 142176578.716978 143739973.027721 144527864.407077 142780571.630606 141377789.583543 139263354.334985 136204081.402464 133314016.522013 129626650.436063 126054518.139934 121428543.466883 116658134.02484 112863895.955131 108329820.083303 104133851.07734 98844268.0992077 93625625.8940763 89109355.1401153 83860901.982232 78339557.3274375 73050386.3035235 68430963.5549562 63629256.4186163 58663797.8639059 54352225.4917833 49717286.5694839 45396698.7402145 41277826.2360435 37446606.261611 33663537.1223231 30230103.5981443 26854932.332752 23979390.4893969 21165320.9203503 18545341.3982431 16239210.6519801 14135789.0423243 12262275.5394721 10556149.8343323 9062289.95203678 7767693.49577195 6528026.01500166 5493023.8069 4608493.98134181 3785967.32073093 3111019.69065562 2554842.64098632 2064449.14773262 1599184.20456362 1240186.04163126 968475.777404076 732475.494252771 542694.427104739 389316.994211058 283818.039826034 205493.07314413 138752.526878838 93334.8675887821 64933.3447933473 45240.5587023411 30230.3040689542 17854.0085008949 9221.58629739089 4568.96121498214 2406.85343570553 461.519389177102 0 0 0 0 0 0 0 0 0
"CANCOST" 109238387.601805 187817092.865393 172345469.265239 164026541.566008 150536920.338115 145495691.926842 134886169.129995 126774839.989077 116844966.510489 109201753.110581 99124633.9151656 91188884.6439438 85852822.9445932 77420048.2090352 70769774.7091074 66259400.0817451 59421396.3050916 54713080.6681387 49744822.633753 44754573.062134 40712401.4388609 36454729.6388366 32845194.5268792 29933055.5078081 26804934.5532234 23934020.2696341 21424905.48552 19312916.6296212 17373978.5483296 15110465.4830998 13532107.7250427 11925925.7359161 10632288.469843 9111884.17952984 8024938.45261103 6961892.15929273 6025634.50819161 5306087.8740039 4632811.16220527 3937982.83303421 3288795.6063779 2913237.89854892 2422135.20786766 2093333.55470048 1781690.24429547 1488412.28035433 1273973.81229152 1043604.67813463 904118.164005843 724445.307331369 591258.156308837 496130.334358666 409848.274981395 333901.901130728 249894.391018808 214314.460838919 169174.567755932 121865.731217261 113549.525343046 83721.2150276436 65927.436836606 49296.5271997025 37935.7051918779 24895.8382685387 22902.2288661157 14290.277310828 11361.5629236077 8022.11574673347 5826.39148289699 3753.7709476699 3200.112920649 2033.6166809734 1444.43423976512 648.82205639708 266.006568523319 157.765684341856 149.468940731466 209.662290816961 0 0 0 0 0 0 0 0 0
"OSTCOST" 59152993.2432116 115412907.429347 168238501.318771 217443527.970044 263084577.736597 305348824.868172 341942271.74862 373131677.526185 399357669.7261 420912897.018666 437931394.970484 450900325.037632 459845410.850263 464898837.740103 467058838.497348 466054187.752991 462056635.783641 455898174.714056 447418535.136617 436833074.75528 424479320.808121 411069242.615065 396375030.425116 380583909.730882 364222541.949826 347398120.023306 330277158.153924 312696755.740563 295119931.03943 277384893.215783 259836457.287463 242558720.353151 225931497.021363 209719279.915872 194004266.293981 178695544.637929 164071159.050986 150168135.265014 137088382.971165 124627532.391716 112900222.27449 101876719.779261 91617750.4029227 82128108.7637454 73198665.5921202 65085507.9628042 57634485.2950106 50842961.359705 44667040.3928402 39105328.1542582 34018311.4309341 29534168.4116583 25516850.5000688 21892673.1160574 18644242.0828773 15753437.5218444 13239369.0731123 11044716.4355177 9137995.99670166 7492254.35151846 6058626.4850788 4852551.854254 3833847.47132251 3001702.89897245 2291694.05071018 1763508.45700612 1323146.46080601 994972.616522433 735697.97647519 534582.395695186 386558.43734014 268482.943483525 176335.782523448 111535.407335345 64233.6290209646 31895.4013035924 16444.7996297294 7865.72255264068 3659.6005534382 1623.98604318473 459.736882270977 338.985923594651 106.509370062388 0 0 0 0
"DEPCOST" 19930982.3336642 37575935.6726459 52900314.1973894 66263274.4802969 77713869.6939085 87309013.3214226 95219746.126742 101574885.685253 106366098.065158 109794624.022071 111922811.509375 112968996.756083 113119602.089607 112319770.53126 110766553.936068 108528475.775917 105713830.070739 102461704.818971 98839863.171927 94887076.2148773 90736100.5694519 86373751.2399217 81927195.795139 77454301.4803221 72968408.144611 68563405.864545 64184196.4958326 59900882.5460365 55687556.5564918 51663120.1548754 47711198.5731933 43928694.885876 40334631.6110433 36921873.6414087 33660545.1753419 30574023.0713992 27698621.2736595 25003854.0093677 22501628.0934067 20169968.6090207 18009725.7677158 16010334.2042801 14177535.3933237 12505467.0705623 10966979.9897471 9572925.45086083 8335465.27821702 7201464.94198933 6199689.39945384 5320172.02713338 4525286.14114937 3843733.89582159 3244897.06645637 2714409.13267829 2254984.07121333 1862017.5123364 1523650.48947418 1237594.94342459 994690.789092603 788825.928101863 612838.744870676 471722.960742462 360696.397016531 270667.373306756 196768.712752936 143806.391645496 104579.400036395 74181.3077509403 51982.8549162222 35922.3982486375 24686.9901851903 16985.3345032107 10955.633773397 6590.95441382471 3669.14396454529 1757.16816100853 952.638687211273 404.704787747569 146.884715752655 77.2130416461814 0 0 0 0 0 0 0
"DEMCOST" 72712726.5777165 61765170.7399848 65229569.4724666 71544430.9789255 80710588.4080724 89380042.9559089 97569462.2196235 104473907.65458 111554209.857205 119670471.170952 125762168.651651 131800270.204698 138176668.956476 145670754.921087 150698025.666663 153867413.326202 154554934.154395 156236890.966055 155884233.683255 155182500.431805 152058815.747192 149597637.746547 143714758.826195 137739757.586044 130453106.884075 126050615.021941 121330508.221538 118329756.009321 111495554.647787 107342980.631305 100327155.725232 94779065.8191881 91189095.2058349 88130824.6163053 84006180.5631259 80212765.7487652 75827441.1779025 71039239.5535546 67328389.685596 63456063.3769328 59741691.8965757 56971687.633942 53715481.6911493 51131793.8909577 47990204.6489458 43689523.0509227 40453662.6742089 37391197.3205155 34795211.2856268 32348762.4260715 29446903.57713 26982600.8366037 24995025.5076714 23061988.2845356 21145380.2669062 18951238.4366085 16882321.4733357 15821983.2239492 13974242.1895055 12946968.5920186 11313744.7397761 9890979.69047305 8210243.56576118 7066161.37493961 5743617.66107468 4648338.70220341 3780607.80398703 2875426.82706739 2175853.83047044 1549292.10652897 1112562.70128861 781156.471783492 506949.202602064 304161.099377994 160001.931254238 77229.7519505365 50518.6895964745 21182.6146079984 7290.04834281974 2916.9328814486 0 0 0 0 0 0 0
"OTHCOST" 1309085413.22744 1337627485.52297 1346700360.61803 1339597224.27545 1327148496.29908 1313450863.62909 1296496408.93834 1272457630.67528 1244256411.36277 1211999502.55525 1176564929.87375 1140319953.65462 1101665757.74859 1061055481.90755 1019644461.37117 977941451.410702 934335269.11267 890336433.421743 846366748.201167 803861998.219247 759674334.124181 717077500.565588 674991886.652962 633877933.354516 594157779.449425 554718726.633967 517099811.511243 480819845.353399 445658091.418431 412268413.556326 379906209.508766 349144886.597817 320105725.798044 292393494.323174 265958022.124859 241416481.942549 218080913.399497 196637925.890349 176393527.869899 158130849.487867 141089759.394621 124982789.048326 110572651.703369 97349429.0856802 85263812.6772711 74268371.9894169 64644620.0661488 55556567.016802 47685265.478916 40983322.6083385 34771492.1920224 29445110.9973986 24739328.3666624 20632315.2510342 17045119.9190241 13996089.2141757 11402310.7064557 9266718.75155397 7414529.44620007 5876729.82504339 4563494.27159023 3509981.75858536 2684883.81816229 1993062.02771869 1455883.02682033 1076754.35948735 760278.696481658 539368.602187379 386853.56855349 264842.414819443 182781.540256775 124717.461122239 76150.2375964553 46188.534377145 25992.5303996889 11927.6387333252 6832.05158995873 2966.31035619245 822.037528633559 445.744676348113 0 0 0 0 0 0 0
