"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70" "71" "72" "73" "74" "75" "76" "77" "78" "79" "80" "81" "82" "83" "84" "85" "86"
"DMCOST" 44465253.8218597 129625295.559885 193430534.443029 213317913.402175 237406006.366277 273132679.861867 312714636.335089 347922116.159487 374668056.881449 391286492.155792 401245173.310222 407427958.943194 410073676.789316 410217779.917166 408469742.243816 404659985.221508 399461776.062558 391741905.276289 382564897.842671 372631387.16695 361242059.159825 348998554.436989 336047894.655018 322676031.503618 308592241.229918 294540445.616393 279666091.835324 264876078.8235 250032060.56421 235230944.572537 220545134.59268 206000162.834667 191690906.021596 177510591.882055 163812846.289444 150544124.482913 137926616.608693 125649443.858905 114130064.500152 103051258.733557 92608014.3812356 83049987.979331 74190507.1051136 65881347.9421515 58130014.7554798 51208225.9677869 44831908.2443021 38994384.804263 33669534.6971799 28962110.504365 24726368.9832484 21066699.5639973 17791141.4973961 14861565.6717605 12346216.0679697 10155935.7643425 8266700.89971406 6657587.80374349 5313141.1349873 4152553.64048211 3235313.94735545 2453996.48490718 1852364.19389058 1371985.46119668 990993.674855534 710666.053707148 497402.297841786 340582.668441547 228960.660743111 149176.474630478 95850.7293124497 58683.583273808 36286.6018519626 21752.0682818425 13563.7061264987 5800.8525361754 3976.20101473014 1395.37246789854 399.347604108446 222.995571088504 51.8686005261821 0 0 0 0 0 0
"CVDCOST" 547086082.111547 706261776.366959 838507938.984406 954889739.810416 1058922054.38957 1163163469.02706 1237985097.22718 1303305063.11717 1354270451.73499 1394794077.69892 1423947863.85658 1441818448.58359 1448290605.86139 1445723218.7077 1437407982.1831 1417221513.11944 1393453105.9705 1367268361.52979 1328044119.96288 1288796477.79053 1246863348.27073 1201232154.05691 1154131493.08645 1104588447.0207 1053553761.19257 1002613154.72084 952535267.539699 900634334.593046 851452027.016798 800430420.471891 750811864.465297 702422358.300384 656165916.910895 610846984.985431 564457958.771225 523649795.003807 484213002.075584 444047927.728646 408463659.14958 374993991.595887 340394793.149961 308774256.623617 280725233.404947 252697460.656024 227235647.212228 203617641.082522 182281556.086011 161741168.749082 143266124.719049 126525176.171201 110887682.258865 97447396.4789308 84607284.8045072 73508648.559324 63005985.7079048 53578312.1130131 45873779.4505478 38670122.7964451 32324239.1641311 27010092.1170038 22036455.0529131 17974616.938328 14342249.9231743 11305408.4301339 8895437.8065925 6931316.72918747 5261558.73540825 4093986.30772685 3044881.57959755 2207497.06990022 1536323.23844535 1019162.13250834 719247.413734839 463327.47036661 274113.5457562 125534.244641192 70863.1447688221 25172.6553151857 8002.4108690965 9150.60618005806 676.205834491316 167.786225235274 0 0 0 0 0
"NEPHCOST" 193003563.95558 189558013.642667 187301897.802413 186504870.229751 186902526.158845 188833019.258717 191345474.129342 193261985.590417 195470952.63215 198522664.426442 200445510.755539 202983689.425836 205139873.684944 207213493.581126 208756699.740694 209558352.946394 208707117.638258 208036742.425955 206819215.612672 204860755.537755 200764333.55896 197444789.718219 192797990.959762 187067423.716777 181953222.67632 174747454.165359 168763718.825591 162674686.094061 155194922.212843 146834180.083875 139035014.203274 130943095.493369 122785500.165954 114543519.232245 106779860.003483 99939301.8129722 92998519.0672346 86075028.8826013 79290375.3021494 73033837.3139419 66831300.4247312 60830954.4925667 55330543.203339 49654253.7795374 44491571.6165825 39583262.3251313 35472482.3745333 31031408.4257342 27427613.1465909 24101804.5874439 20896431.0455323 18220784.1374628 15926445.5508568 13828629.9119326 11804109.271099 9906953.30970628 8372812.14923459 7034104.59791338 5827291.8708542 4798111.16428129 3970336.46848366 3191261.70012224 2546915.32953316 1935168.60200378 1378870.10029435 1120641.04406225 814137.593684862 564080.569922328 394127.915192537 267482.066188867 174120.818634496 112019.394227386 59582.5503705914 37987.4841178608 19202.029349766 5576.51312346394 5387.93538498931 3421.2762992009 0 0 0 0 0 0 0 0 0
"RETCOST" 8067281.2383416 11652634.5995827 14107657.8296328 17035821.1342573 19514804.6517884 21920417.4181837 23316267.1246795 25145054.5281179 26308630.1910767 27260511.5063892 28289313.0718633 28780680.274375 29080110.8641467 29346290.584938 29467404.1673968 28994371.9976183 28771962.2545599 28543009.7032116 28143444.1282327 27746822.52844 27142617.8825661 26290632.2167118 25497645.2411932 24662669.8020446 23798890.4681435 22935083.8343263 21903632.3397616 20992258.9595871 19944281.7779465 18922083.657024 17934135.0953526 16715421.498316 15745832.2485392 14684801.6469614 13705838.9521556 12629597.8283994 11777443.0282675 10766807.7512469 9821718.87829929 8911489.04231298 8058356.14026462 7320912.99727408 6495776.92346853 5859565.94511079 5204778.61585143 4601489.19096078 4039199.86550673 3541960.2697859 3097243.86703374 2675133.32436705 2289035.97085465 1951247.57916699 1680612.23296877 1407052.21173225 1168506.08370743 976548.790421757 791976.13146253 634263.207150014 514676.108148558 405715.729513395 326619.030411623 255273.28469015 200007.50638913 146436.206258938 106990.783084933 79774.0622647852 58963.5874248484 40786.3116291586 26848.1648786743 19681.6768637775 12137.4823524999 7479.601496491 4518.92410769357 2523.45639045058 1926.94252285653 562.480159141622 470.737840783934 223.11015322207 103.720901405001 100.21343130918 64.5528082833247 0 0 0 0 0 0
"NEUCOST" 12258250.2078861 27747258.9908642 42627778.7711275 59995260.1711083 73589185.8537144 89940479.2564906 102383418.608951 114805575.981887 124553669.503162 130771658.887972 135829797.745204 140216891.78817 142514405.451013 143330273.552411 144176871.076055 143091619.601863 142374775.600566 139291443.839467 135552115.847683 133439057.999084 130196166.916912 126473067.136689 122196364.68701 116973519.955114 113046284.370029 108477471.52869 103910294.332958 98497999.584392 93755120.5161965 88759916.1229069 83452841.2648613 78291870.3487867 73397503.9771607 68609750.6251666 63612222.1800753 59022148.8110137 54306993.834278 49959908.8164268 45544373.8526442 41415807.5396591 37382870.6584113 33660468.6629699 30247490.2439889 26982868.093203 23962375.9051133 21225184.0046583 18593234.7262901 16236521.7909874 14113814.2854864 12255844.6331399 10550025.1729326 9057580.93335696 7696354.4716323 6503864.99648664 5446778.24306017 4521062.92830021 3740576.76341601 3035532.22756591 2444006.04691667 1965166.77342367 1536942.36275993 1180119.75823057 902983.322572581 672239.125048025 494566.381479866 358654.98578506 252042.970854651 167738.552148173 119688.657037707 77905.7544972478 54078.0495006051 33439.5478697819 19935.7769118849 11943.2868578666 7484.30922826525 3144.40617462809 1906.43756096545 553.135447324738 0 0 0 0 0 0 0 0 0
"CANCOST" 109356136.148425 187017657.258158 168815172.275131 161258026.59173 151504280.944834 144662115.928421 136902818.315834 125595556.53639 119080486.189193 108898193.547693 102777629.050531 93175700.1680446 84965457.7785143 78814113.1135974 71630650.3677397 66958092.0596609 60574947.5556572 54628055.2964589 49876048.866659 44631691.8786156 41060596.7322961 36619235.0664145 33214978.1999352 30095336.791227 26414029.0045135 24061820.8201456 21415659.182454 19471277.7429613 17334704.3376411 15401409.4084684 13398832.3781165 11903387.907609 10575998.3476481 9255076.74149216 8134146.29314109 6945311.72609209 6103382.00811319 5218338.29943992 4603654.40590455 3946647.81123141 3362173.027759 2939510.5225252 2472243.4692938 2089209.47228646 1804957.84073643 1485110.30538924 1243616.65277854 1047282.9789437 904101.908199264 715955.153120005 610606.451590884 503577.60379569 419258.394283651 329633.367870224 273851.949769132 225086.661118671 176345.489229556 138067.902491231 107567.755405568 78644.5999830724 62415.7427932035 44516.8883670812 31879.1667517161 26023.4431485942 17764.7665514225 13320.2033765234 7758.33885151837 9403.64474787629 4864.20027898199 4499.92079148894 2371.93899415056 1622.00172694491 1050.28671292884 690.488996816513 641.764070583364 159.974975577578 76.5887635966911 69.0105228861049 0 0 0 0 0 0 0 0 0
"OSTCOST" 59182316.900364 116250098.35808 169785041.531175 219155396.535553 265573524.414162 307553713.025702 344155852.119103 375476037.896654 401648331.30073 422868078.589345 439407800.8912 452386930.364561 461257931.439897 466596627.943356 468387350.806546 467076080.528344 462924554.432123 456429079.097012 447866083.25192 437419805.160043 425227056.88257 411718285.188721 396956821.315584 381155218.261699 364696872.30591 347867394.775684 330455350.490524 312863078.317983 295104751.539261 277467964.136176 259960616.862043 242779969.709203 226071095.300072 209827320.045372 194046086.404317 178802263.113739 164163034.227481 150276335.095744 137186050.26496 124682057.326385 112895300.189505 101869858.446262 91709866.2217316 82167834.6658799 73303587.2514923 65212313.0001734 57754632.1182831 50902008.6358738 44647959.2460626 39035782.5398374 33942709.3858782 29425839.2970048 25312804.5067413 21659948.3325326 18462569.445271 15583163.4289934 13094898.0602818 10910793.2833517 8983270.01992546 7331909.46947066 5938735.17674844 4736840.57628433 3736404.63614688 2919537.25706314 2240399.39989704 1715834.82307451 1277594.44433159 951758.509170426 701590.208739172 502593.956674127 357788.817433958 242475.228342813 160677.975047794 102074.179669156 58580.1217798302 30447.7818287302 16162.1774631205 7057.03171397154 2960.65638137603 1807.90780714287 393.301136912108 112.979884298344 0 0 0 0 0
"DEPCOST" 19912658.8804185 37535940.3652455 52917352.0003033 66266609.0135778 77684273.1209347 87408729.0180892 95333423.2452895 101638913.215309 106412555.249975 109799389.555392 111968430.067086 112995647.160066 113068047.072115 112206670.762954 110613856.372463 108333657.926017 105540914.494594 102303929.248029 98657853.0195953 94726423.7745345 90565889.092458 86241462.3559926 81781110.282732 77333131.9431113 72866340.2066645 68451357.5344407 64047339.4043215 59734517.4945979 55528377.3296398 51462627.2792659 47531776.1399272 43765819.6040338 40184532.4574059 36756677.192365 33506826.3173696 30435431.1874639 27567173.8427821 24883330.9607692 22391199.4207502 20048473.8638652 17871052.2383282 15880698.9228773 14078452.1402974 12419234.389199 10887748.257937 9521538.45025647 8274833.9594972 7142837.60704093 6134501.88621666 5255859.73121926 4465531.98128648 3783628.77717714 3180131.67064785 2653537.54493321 2199546.61735963 1806045.59536448 1470821.65118156 1189458.89992386 949170.148242147 750097.651603073 584184.542554798 447341.4508021 339944.026406563 253767.512749143 184670.98413139 134715.294047888 96539.8080588085 67618.1404121634 47840.8327155215 32641.0193725886 21851.3355439241 14146.5028402554 8864.49284640069 5257.84653505776 2984.4364128952 1460.0919774607 920.064099637744 304.411579121011 81.5422938307806 53.1670150897363 18.059861648169 0 0 0 0 0 0
"DEMCOST" 71950934.7828995 62794933.9441892 66712865.2834293 71771713.8724466 77815431.43933 87737780.371379 97576051.5842615 104889204.640712 110289216.083184 119906997.34873 125507803.846355 134321855.169979 141401030.160413 147011306.012827 148772294.936442 153252033.284853 155584156.385838 154908469.64175 154662216.222981 154089848.270845 151995697.329 149802331.843344 144085938.879158 137829233.76996 132764424.322006 126565107.324483 124014123.226723 119962950.326628 113182666.195497 107640666.757903 102134129.121718 96549735.6498257 93447210.4006502 89216454.6352277 84882240.9414032 80561836.934558 76172100.6483396 71770964.5316109 68728002.2000441 64613886.1724971 61295667.2111083 57938997.5082071 54910303.8435287 51947830.947193 48335859.1714349 45488978.7883777 41820264.0049629 38989569.4732833 35623808.911903 33310358.4636324 30521387.4521241 28073782.5137322 25910380.7630244 23362065.5232325 21735655.0856191 19578553.820934 17680682.9616268 16237637.890372 14222576.7761108 12937707.2803628 11280429.5794503 9921975.18331961 8247607.23371893 6766421.58970514 5452070.09662652 4485826.77942765 3527754.92037159 2753819.29142448 2174571.48654964 1559621.49715821 1056545.33053948 651790.779900121 424463.773746534 265717.567183564 146969.631676831 74994.2140537973 38970.3669674705 20800.9964019583 4896.92426409514 1919.89867556995 0 0 0 0 0 0 0
"OTHCOST" 1311966904.47551 1338898115.83455 1348227897.50491 1341127864.78014 1330139432.73132 1315299542.67132 1298707789.68602 1275083553.87883 1245547874.96675 1214667324.14587 1178144513.09647 1142566348.88939 1103094313.28637 1063406812.8988 1022126489.66236 978571110.469992 935929770.423883 891825937.165248 848410255.873071 805347152.009985 761311014.811724 718887458.684507 675766230.889688 634768281.696838 594824419.669043 556251807.06692 518426400.579997 481241993.903721 446963278.603812 412945188.73102 381077882.041344 350124472.851181 320549894.386917 292411876.36967 266710283.262002 242005233.287295 218344401.044056 197043615.354798 176733438.201166 158272244.596587 140849731.053741 124993122.203598 110416415.164696 97380269.7435258 85183711.2793517 74636963.0750875 64593689.3126264 55653075.7663199 47699425.534772 40863156.8778713 34602470.7461617 29289891.3702184 24450532.6836573 20377038.4112674 16891118.0115268 13763078.0717338 11165828.9684106 9051757.96809373 7181596.16236646 5693086.41533335 4463151.43307711 3411268.99557032 2581843.34243466 1910355.68353407 1403307.44155603 1037314.83814223 731561.470628712 515442.374464309 363889.113892595 247725.038588928 167590.938151195 106847.951070197 62492.7619589708 38714.6028662872 22736.4424982068 10114.0714406616 6731.51267876505 2616.44342729321 834.6357636972 668.321587023225 173.300589107204 0 0 0 0 0 0
